Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Cathwold Heath,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,180.0,406,187,64,127,Anticlere,406.46875,-187.546875,1.0,TownVillage
Vanwood Hollow,2.0,WOD_Anticlere_Dock_Lighthouse_Large_01,0.0,353,195,64,0,Anticlere,353.5703125,-195.4765625,1.0,TownVillage
The Mastersmith Plantation,2.0,WOD_Dock_Small_01,180.0,356,200,64,127,Anticlere,356.5,-200.453125,1.0,HomeFarms
Ipspath,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,0.0,358,193,64,0,Anticlere,358.5703125,-193.4765625,1.0,TownHamlet
Yeomhart Manor,2.0,WOD_Dock_Lighthouse_Small_01,0.0,361,192,64,0,Anticlere,361.5703125,-192.4765625,1.0,HomeWealthy
Wilderbury Rock,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,180.0,366,197,64,127,Anticlere,366.5,-197.453125,1.0,TownVillage
The Old Kingwing Place,2.0,WOD_Dock_Small_01,180.0,455,172,64,127,Anticlere,455.4296875,-172.78125,1.0,HomePoor
Hawkwing Palace,2.0,WOD_Dock_Small_01,180.0,499,158,64,127,Anticlere,499.4296875,-158.78125,1.0,HomeWealthy
Umbopala,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,449,364,64,0,Ayasofya,449.5078125,-364.5078125,7.0,TownVillage
Kirkbeth Hamlet,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,114,255,0,64,Betony,114.4609375,-255.46875,1.0,TownVillage
Wilderleigh,2.0,WOD_Dock_Lighthouse_Small_01,180.0,558,137,64,127,Bhoriane,558.4765625,-137.5625,1.0,TownHamlet
Moorcroft Court,2.0,WOD_Dock_Small_01,180.0,561,137,64,127,Bhoriane,561.4765625,-137.5625,1.0,HomeWealthy
Arkbeth Garden,2.0,WOD_Dock_Lighthouse_Small_01,180.0,583,138,64,127,Bhoriane,583.4765625,-138.546875,1.0,TownHamlet
Wartale,2.0,WOD_Dock_Medium_01,0.0,588,139,64,0,Bhoriane,588.4765625,-139.546875,1.0,TownVillage
The Gaerford Plantation,2.0,WOD_Dock_Small_01,-90.0,631,111,0,64,Bhoriane,631.4765625,-111.4296875,1.0,HomeFarms
Fontbridge,2.0,WOD_Dock_Medium_01,180.0,637,113,64,127,Bhoriane,637.4765625,-113.5390625,1.0,TownVillage
The Masterton Farmstead,2.0,WOD_Dock_Small_01,180.0,645,111,64,127,Bhoriane,645.4765625,-111.546875,1.0,HomeFarms
The Thirsty Skull Hostel,2.0,WOD_Dock_Small_01,180.0,646,113,64,127,Bhoriane,646.4765625,-113.546875,1.0,Tavern
Strenner Haven,2.0,WOD_Dock_Lighthouse_Small_01,180.0,649,113,64,127,Bhoriane,649.4765625,-113.546875,1.0,ReligionCult
Stokbrone,2.0,WOD_Dock_Medium_01,180.0,652,112,64,127,Bhoriane,652.4765625,-112.546875,1.0,TownHamlet
Old Vannabyth's Farm,2.0,WOD_Dock_Small_01,-90.0,587,152,0,64,Bhoriane,587.4765625,-152.5390625,1.0,HomeFarms
The Old Hearthwing Hovel,2.0,WOD_Dock_Small_01,-90.0,607,146,0,64,Bhoriane,607.4765625,-146.5390625,1.0,HomePoor
Ipsmoth,2.0,WOD_Dock_Lighthouse_Small_01,,609,145,58,61,Bhoriane,609.453125,-145.5234375,1.0,TownVillage
Old Evelorya's Farm,2.0,WOD_Dock_Small_01,-45.0,614,147,127,0,Bhoriane,614.4765625,-147.5390625,1.0,HomeFarms
Whitecroft,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,102,199,64,127,Daggerfall,102.5,-199.2890625,1.0,TownHamlet
Holwych,2.0,WOD_Dock_Medium_01,180.0,118,201,64,127,Daggerfall,118.5,-201.2890625,1.0,TownVillage
The Ashhouse Farmstead,2.0,WOD_Dock_Small_01,180.0,138,212,64,127,Daggerfall,138.4296875,-212.4765625,1.0,HomeFarms
Ripmore,2.0,WOD_Daggerfall_Dock_Lighthouse_Large_01,0.0,285,213,64,0,Daggerfall,285.421875,-213.4765625,1.0,TownCity
Daggerfall,2.0,WOD_Dock_Medium_01,180.0,209,214,64,127,Daggerfall,209.5703125,-214.578125,1.0,TownCity
Daggerfall,2.0,WOD_Dock_Large_01,180.0,210,214,64,127,Daggerfall,210.5703125,-214.578125,1.0,TownCity
Daggerfall,2.0,WOD_Daggerfall_Dock_Lighthouse_Large_01,180.0,211,214,64,127,Daggerfall,211.5703125,-214.578125,1.0,TownCity
Burning Martyr of Kynareth,2.0,WOD_Dock_Small_01,-90.0,97,189,0,64,Daggerfall,97.5390625,-189.5390625,1.0,ReligionTemple
Holmarket,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,111,199,0,64,Daggerfall,111.578125,-199.203125,1.0,TownHamlet
The Knave and Dragon Pub,2.0,WOD_Dock_Small_01,-90.0,132,210,0,64,Daggerfall,132.546875,-210.703125,1.0,Tavern
Fontborne,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,-90.0,160,221,0,64,Daggerfall,160.390625,-221.4296875,1.0,TownVillage
Longwich End,2.0,WOD_Dock_Medium_01,180.0,169,225,64,127,Daggerfall,169.5,-225.5234375,1.0,TownVillage
Wilderham,2.0,WOD_Dock_Medium_01,180.0,178,224,64,127,Daggerfall,178.5,-224.5234375,1.0,TownVillage
Midbrugh,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,90.0,198,217,127,64,Daggerfall,198.578125,-217.5703125,1.0,TownVillage
Ashsly Hall,2.0,WOD_Dock_Small_01,-90.0,205,226,0,64,Daggerfall,205.453125,-226.5,1.0,HomeWealthy
Kinging Court,2.0,WOD_Dock_Lighthouse_Small_01,180.0,209,228,64,127,Daggerfall,209.5,-228.6484375,1.0,HomeWealthy
Vanvale,2.0,WOD_Dock_Medium_01,-90.0,294,214,0,64,Daggerfall,294.546875,-214.5,1.0,TownHamlet
Blackcart Hollow,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,90.0,297,214,127,64,Daggerfall,297.421875,-214.3671875,1.0,TownVillage
Copperfield Manor,2.0,WOD_Dock_Small_01,180.0,207,214,64,127,Daggerfall,207.5703125,-214.578125,1.0,HomeWealthy
Masterston Court,2.0,WOD_Dock_Small_01,180.0,140,241,64,127,Daggerfall,140.4765625,-241.5625,1.0,HomeWealthy
The Woodhouse Farmstead,2.0,WOD_Dock_Small_01,180.0,146,239,64,127,Daggerfall,146.4765625,-239.5625,1.0,HomeFarms
Aldpath Hall,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,180.0,144,239,64,127,Daggerfall,144.4765625,-239.5625,1.0,TownVillage
Grimton,2.0,WOD_Dock_Medium_01,0.0,143,236,64,0,Daggerfall,143.5,-236.578125,1.0,TownVillage
Fonthope End,2.0,WOD_Dock_Lighthouse_Small_01,0.0,146,235,64,0,Daggerfall,146.5,-235.578125,1.0,TownHamlet
Madla,2.0,WOD_Dock_Lighthouse_Small_01,0.0,597,285,64,0,Dragontail Mountains,597.5078125,-285.5078125,4.0,TownVillage
Kingford Palace,2.0,WOD_Dock_Small_01,-90.0,513,149,0,64,Dwynnen,513.40625,-149.546875,1.0,HomeWealthy
Hawking Palace,2.0,WOD_Dock_Small_01,180.0,535,143,64,127,Dwynnen,535.4765625,-143.4921875,1.0,HomeWealthy
The Queen's Cat Inn,2.0,WOD_Dock_Small_01,180.0,542,143,64,127,Dwynnen,542.4765625,-143.4921875,1.0,Tavern
Ashfield Hall,2.0,WOD_Dock_Small_01,90.0,547,139,127,64,Dwynnen,547.390625,-139.546875,1.0,HomeWealthy
Tambridge,2.0,WOD_Dock_Medium_01,0.0,79,73,64,0,Glenumbra Moors,79.4765625,-73.390625,1.0,TownHamlet
Deerpath,2.0,WOD_Dock_Medium_01,-90.0,77,77,0,64,Glenumbra Moors,77.3984375,-77.4765625,1.0,TownHamlet
Old Lysausa's Farm,2.0,WOD_Dock_Small_01,-45.0,625,150,127,0,Isle of Balfiera,625.4765625,-150.5390625,1.0,HomeFarms
Warwych,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,,631,162,58,61,Isle of Balfiera,631.453125,-162.5234375,1.0,TownHamlet
Kingsly Orchard,2.0,WOD_Dock_Small_01,,640,169,58,61,Isle of Balfiera,640.453125,-169.5234375,1.0,HomeFarms
Gallomarket,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,-90.0,644,166,0,64,Isle of Balfiera,644.4765625,-166.5390625,1.0,TownVillage
The Moorhouse Farmstead,2.0,WOD_Dock_Small_01,-180.0,654,170,64,127,Isle of Balfiera,654.5078125,-170.4921875,1.0,HomeFarms
The Crypts of Kingham,2.0,WOD_Dock_Small_01,135.0,725,233,0,127,Isle of Balfiera,726.5,-234.5,0.0,Graveyard
Ruins of The Old Yeoming Hovel,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,-90.0,671,203,0,64,Isle of Balfiera,671.4375,-203.46875,4.0,DungeonRuin
Tlactrn Manor,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,202,435,64,0,Kairou,202.4375,-435.5234375,7.0,HomeWealthy
Kalunnunu,2.0,WOD_Dock_Lighthouse_Large_01,0.0,754,279,64,0,Lainlyn,754.5078125,-279.5078125,5.0,TownCity
The Crimson Barbarian Pub,2.0,WOD_HF_Dock_Small_01,-45.0,644,279,127,0,Lainlyn,644.453125,-279.5,4.0,Tavern
Syrotubu,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,658,281,64,0,Lainlyn,658.5078125,-281.5078125,4.0,TownVillage
The Kurgrn Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,663,281,64,0,Lainlyn,663.5078125,-281.5078125,4.0,HomeFarms
Papiladisu,2.0,WOD_HF_Dock_Medium_01,0.0,674,286,64,0,Lainlyn,674.5078125,-286.5078125,5.0,TownVillage
Pilliweyn,2.0,WOD_HF_Dock_Small_01,0.0,685,284,64,0,Lainlyn,685.5078125,-284.5078125,5.0,TownHamlet
Torch Manor,2.0,WOD_HF_Dock_Small_01,0.0,687,283,64,0,Lainlyn,687.5078125,-283.5078125,5.0,HomeWealthy
Syrallao,2.0,WOD_HF_Dock_Lighthouse_Large_01,0.0,699,281,64,0,Lainlyn,699.5078125,-281.5078125,5.0,TownVillage
Pythohajer,2.0,WOD_HF_Dock_Medium_01,0.0,702,281,64,0,Lainlyn,702.5078125,-281.5078125,5.0,TownHamlet
Krill'kern Orchard,2.0,WOD_HF_Dock_Small_01,0.0,707,283,64,0,Lainlyn,707.5078125,-283.5078125,5.0,HomeFarms
Burning Ascencion of Julianos,2.0,WOD_HF_Dock_Small_01,0.0,712,282,64,0,Lainlyn,712.5078125,-282.5078125,5.0,ReligionTemple
Reliquary of Sai,2.0,WOD_HF_Dock_Small_01,0.0,724,282,64,0,Lainlyn,724.5078125,-282.5078125,5.0,ReligionCult
The Old Rausten Shack,2.0,WOD_HF_Dock_Small_01,0.0,728,282,64,0,Lainlyn,728.5078125,-282.5078125,5.0,HomePoor
Blessed Tree of Julianos,2.0,WOD_HF_Dock_Small_01,0.0,734,282,64,0,Lainlyn,734.5078125,-282.5078125,5.0,ReligionTemple
Holy Ascencion of Julianos,2.0,WOD_HF_Dock_Small_01,-45.0,737,282,127,0,Lainlyn,737.5078125,-282.5078125,5.0,ReligionTemple
Morilliton,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,741,281,64,0,Lainlyn,741.5078125,-281.5078125,5.0,TownHamlet
Stuld Hall,2.0,WOD_HF_Dock_Small_01,0.0,747,280,64,0,Lainlyn,747.5078125,-280.5078125,5.0,HomeWealthy
Infinite Soul of Julianos,2.0,WOD_HF_Dock_Small_01,-45.0,749,279,127,0,Lainlyn,749.4921875,-279.5,5.0,ReligionTemple
Blarcan Hall,2.0,WOD_HF_Dock_Small_01,0.0,764,278,64,0,Lainlyn,764.5078125,-278.5078125,5.0,HomeWealthy
Baghascuwan,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,766,279,64,0,Lainlyn,766.5078125,-279.5078125,5.0,TownHamlet
The Silver Hedgehog Pub,2.0,WOD_Dock_Small_01,-90.0,800,181,0,64,Menevia,800.4765625,-181.4296875,1.0,Tavern
Chesterbrugh,2.0,WOD_Dock_Lighthouse_Large_01,180.0,791,216,64,127,Menevia,791.4765625,-216.546875,1.0,TownVillage
Old Vannyvyra's Farm,2.0,WOD_Dock_Small_01,-90.0,821,215,0,64,Menevia,821.421875,-215.5078125,1.0,HomeFarms
Wadijilanis,2.0,WOD_HF_Dock_Medium_01,0.0,898,285,64,0,Mournoth,898.5078125,-285.5078125,5.0,TownVillage
Meseraara,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,962,278,64,0,Mournoth,962.5078125,-278.5078125,5.0,TownHamlet
The Dirty Goat Inn,2.0,WOD_HF_Dock_Small_01,0.0,969,281,64,0,Mournoth,969.5078125,-281.5078125,5.0,Tavern
Elissinia,2.0,WOD_HF_Dock_Medium_01,0.0,279,403,64,0,Myrkwasa,279.4375,-403.5234375,7.0,TownVillage
The Boirch Cabin,2.0,WOD_HF_Dock_Small_01,-45.0,296,397,127,0,Myrkwasa,296.4921875,-397.5,7.0,HomePoor
Gothcroft,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,127,42,0,64,Northmoor,127.5234375,-42.421875,1.0,TownCity
The Rat and Priest Hostel,2.0,WOD_Dock_Small_01,0.0,224,5,64,0,Northmoor,224.5234375,-5.4609375,1.0,Tavern
The Mouse and Goblin Tavern,2.0,WOD_Dock_Small_01,0.0,222,5,64,0,Northmoor,222.5234375,-5.4609375,1.0,Tavern
The Kingham Farmstead,2.0,WOD_Dock_Small_01,-90.0,215,11,0,64,Northmoor,215.4921875,-11.546875,1.0,HomeFarms
Knightshope,2.0,WOD_Dock_Medium_01,0.0,229,5,64,0,Northmoor,229.5234375,-5.4609375,1.0,TownHamlet
Stokwall,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,219,8,0,64,Northmoor,219.4921875,-8.546875,1.0,TownVillage
Buckingsmith Manor,2.0,WOD_Dock_Small_01,0.0,210,14,64,0,Northmoor,210.5,-14.4765625,1.0,HomeWealthy
Vanpath,2.0,WOD_Dock_Lighthouse_Medium_01,0.0,162,34,64,0,Northmoor,162.4296875,-34.421875,1.0,TownVillage
Longham,2.0,WOD_Dock_Lighthouse_Small_01,0.0,152,35,64,0,Northmoor,152.5,-35.5,1.0,TownVillage
Burgcart Heath,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,124,45,0,64,Northmoor,124.5234375,-45.421875,1.0,TownVillage
The Feather and Dog Tavern,2.0,WOD_HF_Dock_Small_01,0.0,235,408,64,0,Pothago,235.4375,-408.5234375,7.0,Tavern
Berbajan,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,266,406,64,0,Pothago,266.4375,-406.5234375,7.0,TownVillage
Berbajan,2.0,WOD_HF_Dock_Lighthouse_Small_01,45.0,266,406,127,127,Pothago,266.59375,-406.5,7.0,TownVillage
Tulajidax,2.0,WOD_HF_Dock_Lighthouse_Medium_01,45.0,779,283,127,127,Satakalaam,779.4921875,-283.5,5.0,TownVillage
The King's Dungeon Lodge,2.0,WOD_HF_Dock_Small_01,0.0,782,283,64,0,Satakalaam,782.5078125,-283.5078125,5.0,Tavern
Lopadai,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,798,277,0,64,Satakalaam,798.4921875,-277.5,5.0,TownHamlet
The Old Turder Hovel,2.0,WOD_HF_Dock_Small_01,0.0,815,279,64,0,Satakalaam,815.5078125,-279.5078125,5.0,HomePoor
Shrald Court,2.0,WOD_HF_Dock_Small_01,0.0,817,278,64,0,Satakalaam,817.5078125,-278.5078125,5.0,HomeWealthy
M'arkam Manor,2.0,WOD_HF_Dock_Small_01,0.0,843,278,64,0,Satakalaam,843.5078125,-278.5078125,5.0,HomeWealthy
Cellen Hall,2.0,WOD_HF_Dock_Small_01,0.0,842,294,64,0,Satakalaam,842.5078125,-294.5078125,5.0,HomeWealthy
Javibia,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,847,269,0,64,Satakalaam,847.4609375,-269.5390625,5.0,TownHamlet
Rlect Hall,2.0,WOD_HF_Dock_Small_01,180.0,825,264,64,127,Satakalaam,825.5,-264.359375,5.0,HomeWealthy
The Crimson Cat Inn,2.0,WOD_HF_Dock_Small_01,0.0,832,263,64,0,Satakalaam,832.4609375,-263.4609375,5.0,Tavern
Pibuda,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,329,376,64,0,Sentinel,329.5078125,-376.5078125,7.0,TownVillage
Zenuhno,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,347,359,64,0,Sentinel,347.4921875,-359.5,7.0,TownVillage
Zenuhno,2.0,WOD_HF_Dock_Medium_01,180.0,347,359,64,127,Sentinel,347.53125,-359.4609375,7.0,TownVillage
Mji-Ij,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,347,357,64,0,Sentinel,347.5078125,-357.5078125,7.0,TownVillage
Antelajda,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,355,358,64,0,Sentinel,355.5078125,-358.5078125,7.0,TownVillage
Naresa,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,-90.0,370,350,0,64,Sentinel,370.4921875,-350.5,7.0,TownCity
The Bosam Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,372,348,64,0,Sentinel,372.5078125,-348.5078125,7.0,HomeFarms
Jalonia,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,375,347,64,0,Sentinel,375.5078125,-347.5078125,7.0,TownVillage
The M'erg Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,383,345,64,0,Sentinel,383.5078125,-345.5078125,7.0,HomeFarms
Ageliret,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,387,344,64,0,Sentinel,387.5078125,-344.5078125,7.0,TownVillage
Pallaton,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,392,341,64,0,Sentinel,392.5078125,-341.5078125,7.0,TownHamlet
Sentinel,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Large_01,45.0,397,342,127,127,Sentinel,397.5703125,-342.46875,7.0,TownCity
Mesiton,2.0,WOD_HF_Dock_Lighthouse_Small_01,180.0,396,348,64,127,Sentinel,396.453125,-348.5,7.0,TownVillage
Isfakabi,2.0,WOD_HF_Dock_Lighthouse_Small_01,180.0,392,351,64,127,Sentinel,392.453125,-351.5,7.0,TownHamlet
The Queen's Wolf Inn,2.0,WOD_HF_Dock_Small_01,90.0,387,353,127,64,Sentinel,387.59375,-353.5,7.0,Tavern
Zagumba-Kom,2.0,WOD_HF_Dock_Lighthouse_Small_01,90.0,382,361,127,64,Sentinel,382.59375,-361.5,7.0,TownVillage
The Old Thush Place,2.0,WOD_HF_Dock_Small_01,0.0,385,369,64,0,Sentinel,385.5078125,-369.5078125,7.0,HomePoor
The Rhujten Cabin,2.0,WOD_HF_Dock_Small_01,0.0,388,369,64,0,Sentinel,388.5078125,-369.5078125,7.0,HomePoor
Cudakasa,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,407,373,64,0,Sentinel,407.5078125,-373.5078125,7.0,TownHamlet
Bubumbaret,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,415,373,64,0,Sentinel,415.5078125,-373.5078125,7.0,TownHamlet
The V'uchin Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,419,374,64,0,Sentinel,419.5078125,-374.5078125,7.0,HomeFarms
The C'avar Cabin,2.0,WOD_HF_Dock_Small_01,0.0,422,373,64,0,Sentinel,422.5234375,-373.546875,7.0,HomePoor
The Dirty Mug Tavern,2.0,WOD_HF_Dock_Small_01,0.0,425,373,64,0,Sentinel,425.5078125,-373.5078125,7.0,Tavern
Bubaaqja,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,427,373,64,0,Sentinel,427.5078125,-373.5078125,7.0,TownHamlet
Old Mhirpti's Hovel,2.0,WOD_HF_Dock_Small_01,0.0,439,372,64,0,Sentinel,439.4921875,-372.5,7.0,HomePoor
Shrine of Q'Olwen,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,441,370,64,0,Sentinel,441.5078125,-370.5078125,7.0,ReligionCult
Bubissidata,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,-135.0,404,327,0,0,Sentinel,404.4609375,-327.5,7.0,TownCity
Rhorkke Hall,2.0,WOD_HF_Dock_Small_01,180.0,409,328,64,127,Sentinel,409.5234375,-328.40625,7.0,HomeWealthy
Antelibuton,2.0,WOD_HF_Dock_Lighthouse_Large_01,0.0,558,296,64,0,Tigonus,558.5078125,-296.5078125,6.0,TownCity
Khajocconu,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,475,346,0,64,Tigonus,475.4921875,-346.5,6.0,TownVillage
Mesanis,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,514,318,64,0,Tigonus,514.5078125,-318.5078125,6.0,TownVillage
Mesanis,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,514,318,0,64,Tigonus,514.4921875,-318.5,6.0,TownVillage
Paponirea,2.0,WOD_HF_Dock_Small_01,0.0,516,313,64,0,Tigonus,516.5078125,-313.5078125,6.0,TownHamlet
Millitor,2.0,WOD_HF_Dock_Small_01,0.0,518,312,64,0,Tigonus,518.5078125,-312.5078125,6.0,TownHamlet
Wadijerareg,2.0,WOD_HF_Dock_Medium_01,0.0,552,297,64,0,Tigonus,552.5078125,-297.5078125,6.0,TownHamlet
The Red Cat Tavern,2.0,WOD_HF_Dock_Small_01,0.0,569,294,64,0,Tigonus,569.5078125,-294.5078125,6.0,Tavern
The Thirsty Sword Tavern,2.0,WOD_HF_Dock_Small_01,0.0,521,309,64,0,Tigonus,521.5078125,-309.5078125,6.0,Tavern
The Rat and Barbarian Tavern,2.0,WOD_HF_Dock_Small_01,0.0,524,308,64,0,Tigonus,524.5078125,-308.5078125,6.0,Tavern
Kalureg,2.0,WOD_HF_Dock_Medium_01,0.0,527,308,64,0,Tigonus,527.5078125,-308.5078125,6.0,TownVillage
Baghada,2.0,WOD_HF_Dock_Small_01,0.0,530,308,64,0,Tigonus,530.5078125,-308.5078125,6.0,TownHamlet
The V'ev Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,534,305,64,0,Tigonus,534.5078125,-305.5078125,6.0,HomeFarms
The Krurta Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,582,290,64,0,Tigonus,582.5078125,-290.5078125,7.0,HomeFarms
Old Rhardja's Hovel,2.0,WOD_HF_Dock_Small_01,180.0,596,279,64,127,Tigonus,596.5390625,-279.4296875,4.0,HomePoor
Midmont,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,61,106,0,64,Tulune,61.5,-106.4609375,1.0,TownVillage
The Lysyna Cabal,2.0,WOD_Dock_Small_01,-90.0,67,121,0,64,Tulune,67.5,-121.4921875,1.0,DungeonLabyrinth
Lambrugh,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,72,164,64,127,Tulune,72.46875,-164.421875,1.0,TownVillage
Penwall Derry,2.0,WOD_Wayrest_Dock_Lighthouse_Large_01,90.0,846,243,127,64,Wayrest,846.5390625,-243.546875,0.0,TownCity
Tunmont,2.0,WOD_Wayrest_Dock_Lighthouse_Large_01,180.0,975,273,64,127,Wayrest,975.4765625,-273.546875,1.0,TownCity
Bleeding Ascencion of Akatosh,2.0,WOD_Dock_Small_01,-45.0,828,223,127,0,Wayrest,828.4765625,-223.4296875,1.0,ReligionTemple
The Old Buckinghouse Place,2.0,WOD_Dock_Small_01,180.0,840,225,64,127,Wayrest,840.4765625,-225.546875,1.0,HomePoor
The Yeomfield Farmstead,2.0,WOD_Dock_Small_01,-135.0,847,229,0,0,Wayrest,847.4765625,-229.546875,1.0,HomeFarms
Chestertower,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,854,236,0,64,Wayrest,854.4765625,-236.4296875,1.0,TownHamlet
Tamvale Rock,2.0,WOD_Dock_Lighthouse_Small_01,0.0,841,240,64,0,Wayrest,841.5234375,-240.40625,5.0,TownVillage
Aldingshire,2.0,WOD_Dock_Small_01,90.0,839,249,127,64,Wayrest,839.5390625,-249.546875,5.0,TownHamlet
