Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Khajocconu,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,475,346,0,64,Tigonus,475.4921875,-346.5,6.0,TownVillage
Mesanis,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,514,318,64,0,Tigonus,514.5078125,-318.5078125,6.0,TownVillage
Mesanis,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,514,318,0,64,Tigonus,514.4921875,-318.5,6.0,TownVillage
Kalureg,2.0,WOD_HF_Dock_Medium_01,0.0,527,308,64,0,Tigonus,527.5078125,-308.5078125,6.0,TownVillage
Midmont,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,61,106,0,64,Tulune,61.5,-106.4609375,1.0,TownVillage
Lambrugh,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,72,164,64,127,Tulune,72.46875,-164.421875,1.0,TownVillage
Tamvale Rock,2.0,WOD_Dock_Lighthouse_Small_01,0.0,841,240,64,0,Wayrest,841.5234375,-240.40625,5.0,TownVillage
Mertale Court,2.0,WOD_Dock_Small_01,-90.0,875,250,0,64,Wayrest,875.4765625,-250.4296875,1.0,TownVillage
Chardale,2.0,WOD_Wayrest_Dock_Lighthouse_Medium_01,180.0,887,256,64,127,Wayrest,887.4765625,-256.546875,1.0,TownVillage
Longmore Field,2.0,WOD_Wayrest_Dock_Lighthouse_Medium_01,180.0,931,262,64,127,Wayrest,931.4765625,-262.546875,1.0,TownVillage
Pencart,2.0,WOD_Dock_Lighthouse_Small_01,0.0,152,38,64,0,Northmoor,152.3984375,-38.3828125,1.0,TownVillage
Zagoparia,2.0,WOD_HF_Dock_Lighthouse_Medium_01,180.0,901,278,64,127,Mournoth,901.5,-278.4921875,5.0,TownVillage
Whitebrone Hall,,,,170,91,64,60,Glenpoint,170.5,-91.53125,3.0,TownVillage
Warvale,,,,248,192,63,63,Daggerfall,248.4921875,-192.5078125,1.0,TownVillage
Singbrugh,,,,653,192,65,64,Isle of Balfiera,653.5078125,-192.5,1.0,TownVillage
