Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
Aldingbridge Moor,2.0,WOD_Dock_Lighthouse_Small_01,180.0,956,265,64,127,9566126558,Wayrest,956.4765625,-265.546875,1.0,TownHamlet
Wartry Moor,2.0,WOD_Dock_Lighthouse_Small_01,180.0,964,266,64,127,9646126658,Wayrest,964.4765625,-266.546875,1.0,TownHamlet
Aldbrugh,2.0,WOD_Dock_Lighthouse_Small_01,135.0,333,202,0,127,3336020264,Shalgora,333.46875,-202.5,1.0,TownHamlet
Tuncart,,nan,,860,195,59,68,8605919568,Wayrest,860.4609375,-195.46875,1.0,TownHamlet
Cathlech,,nan,,855,194,63,63,8556319463,Wayrest,855.4921875,-194.5078125,1.0,TownHamlet
Whitewych Commons,,nan,,463,148,69,59,4636914859,Anticlere,463.5390625,-148.5390625,1.0,TownHamlet
Whitefort,,nan,,119,263,64,60,1196426360,Betony,119.5,-263.53125,1.0,TownHamlet
Blackhead,,nan,,676,205,63,81,6766320581,Isle of Balfiera,676.4921875,-205.3671875,4.0,TownHamlet
Zagyry-Thar,,nan,,914,337,65,63,9146533763,Totambu,914.5078125,-337.5078125,5.0,TownHamlet
Morascubia,,nan,,916,354,46,60,9164635460,Totambu,916.359375,-354.53125,5.0,TownHamlet
Isfeho,,nan,,915,357,67,68,9156735768,Totambu,915.5234375,-357.46875,5.0,TownHamlet
Mogahanu,,nan,,766,311,72,76,7667231176,Lainlyn,766.5625,-311.40625,5.0,TownHamlet
