fid,name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,heightOffset,climate,color
43596,Rocks,1,WOD_Rocks_Flat_Brown_Large_06,622,470,62257470115,57,115,Dak'fron,622.4453125,-470.1015625,110,-30,Deep Desert,Brown
43597,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,626,485,62616485117,16,117,Dak'fron,626.125,-485.0859375,-15,-28,Deep Desert,Brown
43598,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,533,483,5333648395,36,95,Dak'fron,533.28125,-483.2578125,102,0,Deep Desert,Brown
43599,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,707,493,7072749332,27,32,Dak'fron,707.2109375,-493.75,166,0,Deep Desert,Brown
43600,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,533,481,5339448144,94,44,Dak'fron,533.734375,-481.65625,-145,0,Deep Desert,Brown
43601,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,620,478,6206547814,65,14,Dak'fron,620.5078125,-478.890625,-41,0,Deep Desert,Brown
43602,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,530,486,53010348697,103,97,Dak'fron,530.8046875,-486.2421875,-9,-21,Deep Desert,Brown
43603,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,551,480,55130480103,30,103,Dak'fron,551.234375,-480.1953125,-106,-13,Deep Desert,Brown
43604,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,588,450,5884245002,42,2,Dak'fron,588.328125,-450.984375,-2,-19,Deep Desert,Brown
43605,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,525,484,52595484110,95,110,Dak'fron,525.7421875,-484.140625,-167,-1,Deep Desert,Brown
43606,Rocks,1,WOD_Rocks_Flat_Brown_Medium_11,585,475,58579475113,79,113,Dak'fron,585.6171875,-475.1171875,-5,-24,Deep Desert,Brown
43607,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,639,462,6393546290,35,90,Dak'fron,639.2734375,-462.296875,12,-26,Deep Desert,Brown
43608,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,607,449,60796449115,96,115,Dak'fron,607.75,-449.1015625,-126,-27,Deep Desert,Brown
43609,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,601,474,6017847418,78,18,Dak'fron,601.609375,-474.859375,170,0,Deep Desert,Brown
43610,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,595,487,59511248719,112,19,Dak'fron,595.875,-487.8515625,40,0,Deep Desert,Brown
43611,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,515,475,5150947595,9,95,Dak'fron,515.0703125,-475.2578125,-98,0,Deep Desert,Brown
43612,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,539,477,5397647791,76,91,Dak'fron,539.59375,-477.2890625,21,0,Deep Desert,Brown
43613,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,668,459,66813459118,13,118,Dak'fron,668.1015625,-459.078125,18,0,Deep Desert,Brown
43614,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,506,473,50601473115,1,115,Dak'fron,506.0078125,-473.1015625,22,-9,Deep Desert,Brown
43615,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,532,485,5324348501,43,1,Dak'fron,532.3359375,-485.9921875,-110,-29,Deep Desert,Brown
43617,Rocks,1,WOD_Rocks_Flat_Brown_Medium_11,627,440,62712244098,122,98,Dak'fron,627.953125,-440.234375,-60,-14,Deep Desert,Brown
43618,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,620,433,6200343385,3,85,Dak'fron,620.0234375,-433.3359375,90,-3,Deep Desert,Brown
43619,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,660,464,66019464104,19,104,Dak'fron,660.1484375,-464.1875,-8,-1,Deep Desert,Brown
43620,Rocks,1,WOD_Rocks_Flat_Brown_Large_05,548,468,5489046804,90,4,Dak'fron,548.703125,-468.96875,19,-1,Deep Desert,Brown
43621,Rocks,1,WOD_Rocks_Flat_Brown_Large_07,648,447,648127447103,127,103,Dak'fron,648.9921875,-447.1953125,-109,-30,Deep Desert,Brown
43622,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,588,495,5885249526,52,26,Dak'fron,588.40625,-495.796875,13,0,Deep Desert,Brown
43625,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,637,464,63742464114,42,114,Dak'fron,637.328125,-464.109375,-19,0,Deep Desert,Brown
43626,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,525,461,52551461118,51,118,Dak'fron,525.3984375,-461.078125,101,0,Deep Desert,Brown
43627,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,613,442,61311544281,115,81,Dak'fron,613.8984375,-442.3671875,-137,0,Deep Desert,Brown
43628,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,618,473,61812147360,121,60,Dak'fron,618.9453125,-473.53125,-58,-20,Deep Desert,Brown
43629,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,627,485,62780485112,80,112,Dak'fron,627.625,-485.125,-12,-20,Deep Desert,Brown
43631,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,595,486,5959548627,95,27,Dak'fron,595.7421875,-486.7890625,39,0,Deep Desert,Brown
43632,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,665,460,66512346086,123,86,Dak'fron,665.9609375,-460.328125,105,0,Deep Desert,Brown
43633,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,578,491,5787449132,74,32,Dak'fron,578.578125,-491.75,116,0,Deep Desert,Brown
43634,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,519,467,51930467110,30,110,Dak'fron,519.234375,-467.140625,0,0,Deep Desert,Brown
43635,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,589,470,58911447091,114,91,Dak'fron,589.890625,-470.2890625,-144,0,Deep Desert,Brown
43636,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,537,477,5373947789,39,89,Dak'fron,537.3046875,-477.3046875,-53,0,Deep Desert,Brown
43637,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,632,478,6329747887,97,87,Dak'fron,632.7578125,-478.3203125,38,0,Deep Desert,Brown
43638,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,592,478,5929547856,95,56,Dak'fron,592.7421875,-478.5625,-52,-19,Deep Desert,Brown
43639,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,659,464,659105464118,105,118,Dak'fron,659.8203125,-464.078125,22,-21,Deep Desert,Brown
43640,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,622,470,62207470117,7,117,Dak'fron,622.0546875,-470.0859375,128,-20,Deep Desert,Brown
43641,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,583,473,58310747316,107,16,Dak'fron,583.8359375,-473.875,43,-21,Deep Desert,Brown
43642,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,597,473,5979347304,93,4,Dak'fron,597.7265625,-473.96875,179,-4,Deep Desert,Brown
43643,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,639,443,63931443127,31,127,Dak'fron,639.2421875,-443.0078125,-22,-25,Deep Desert,Brown
43644,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,634,485,63493485122,93,122,Dak'fron,634.7265625,-485.046875,-113,-30,Deep Desert,Brown
43645,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,576,472,57684472114,84,114,Dak'fron,576.65625,-472.109375,34,0,Deep Desert,Brown
43646,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,541,469,54184469127,84,127,Dak'fron,541.65625,-469.0078125,-178,0,Deep Desert,Brown
43647,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,589,461,5899846143,98,43,Dak'fron,589.765625,-461.6640625,1,0,Deep Desert,Brown
43648,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,645,448,64529448120,29,120,Dak'fron,645.2265625,-448.0625,65,0,Deep Desert,Brown
43649,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,640,460,64011460104,11,104,Dak'fron,640.0859375,-460.1875,112,0,Deep Desert,Brown
43650,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,668,459,668115459124,115,124,Dak'fron,668.8984375,-459.03125,22,0,Deep Desert,Brown
43651,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,618,471,6188647160,86,60,Dak'fron,618.671875,-471.53125,-129,0,Deep Desert,Brown
43652,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,551,479,5518547906,85,6,Dak'fron,551.6640625,-479.953125,170,-29,Deep Desert,Brown
43653,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,590,457,59011845793,118,93,Dak'fron,590.921875,-457.2734375,-153,-25,Deep Desert,Brown
43655,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,594,491,59412549117,125,17,Dak'fron,594.9765625,-491.8671875,-41,-9,Deep Desert,Brown
43656,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,719,494,71912649404,126,4,Dak'fron,719.984375,-494.96875,99,-14,Deep Desert,Brown
43658,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,556,470,55666470125,66,125,Dak'fron,556.515625,-470.0234375,-168,0,Deep Desert,Brown
43659,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,689,489,68923489104,23,104,Dak'fron,689.1796875,-489.1875,147,0,Deep Desert,Brown
43660,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,585,475,585106475128,106,128,Dak'fron,585.828125,-475,14,0,Deep Desert,Brown
43661,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,600,452,60012245263,122,63,Dak'fron,600.953125,-452.5078125,176,0,Deep Desert,Brown
43662,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,632,485,6321548586,15,86,Dak'fron,632.1171875,-485.328125,-97,0,Deep Desert,Brown
43663,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,633,479,6336747947,67,47,Dak'fron,633.5234375,-479.6328125,-114,0,Deep Desert,Brown
43664,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,637,493,6377949374,79,74,Dak'fron,637.6171875,-493.421875,46,-1,Deep Desert,Brown
43666,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,633,479,6333647956,36,56,Dak'fron,633.28125,-479.5625,-38,-14,Deep Desert,Brown
43667,Rocks,1,WOD_Rocks_Flat_Brown_Medium_11,577,472,5779747297,97,97,Dak'fron,577.7578125,-472.2421875,139,-12,Deep Desert,Brown
43668,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,624,484,62444484127,44,127,Dak'fron,624.34375,-484.0078125,-17,-16,Deep Desert,Brown
43669,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,639,496,6399149618,91,18,Dak'fron,639.7109375,-496.859375,157,-16,Deep Desert,Brown
43671,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,728,493,728118493123,118,123,Dak'fron,728.921875,-493.0390625,7,0,Deep Desert,Brown
43672,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,516,470,5166147001,61,1,Dak'fron,516.4765625,-470.9921875,98,0,Deep Desert,Brown
43673,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,528,486,5284748697,47,97,Dak'fron,528.3671875,-486.2421875,-106,0,Deep Desert,Brown
43674,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,568,471,5688347119,83,19,Dak'fron,568.6484375,-471.8515625,-133,-7,Deep Desert,Brown
43675,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,573,489,5736648965,66,65,Dak'fron,573.515625,-489.4921875,-40,-19,Deep Desert,Brown
43676,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,700,491,7004049114,40,14,Dak'fron,700.3125,-491.890625,64,-14,Deep Desert,Brown
43677,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,580,447,580116447120,116,120,Dak'fron,580.90625,-447.0625,-2,-10,Deep Desert,Brown
43678,Rocks,1,WOD_Rocks_Flat_Brown_Medium_11,633,479,6333047951,30,51,Dak'fron,633.234375,-479.6015625,52,-9,Deep Desert,Brown
43679,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,590,460,59010346062,103,62,Dak'fron,590.8046875,-460.515625,-8,-10,Deep Desert,Brown
43680,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,592,478,59211547893,115,93,Dak'fron,592.8984375,-478.2734375,-1,-26,Deep Desert,Brown
43681,Rocks,1,WOD_Rocks_Flat_Brown_Large_08,511,472,51111847210,118,10,Dak'fron,511.921875,-472.921875,119,-20,Deep Desert,Brown
43682,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,728,492,7286249220,62,20,Dak'fron,728.484375,-492.84375,-103,-1,Deep Desert,Brown
43683,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,507,473,507111473101,111,101,Dak'fron,507.8671875,-473.2109375,-123,0,Deep Desert,Brown
43684,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,633,469,63324469110,24,110,Dak'fron,633.1875,-469.140625,-170,0,Deep Desert,Brown
43685,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,555,481,55529481127,29,127,Dak'fron,555.2265625,-481.0078125,-132,-2,Deep Desert,Brown
43687,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,719,494,71912249402,122,2,Dak'fron,719.953125,-494.984375,94,0,Deep Desert,Brown
43690,Rocks,1,WOD_Rocks_Flat_Brown_Large_06,640,443,6404244376,42,76,Dak'fron,640.328125,-443.40625,-159,-13,Deep Desert,Brown
43691,Rocks,1,WOD_Rocks_Flat_Brown_Large_07,519,480,5196148039,61,39,Dak'fron,519.4765625,-480.6953125,-94,-29,Deep Desert,Brown
43692,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,620,433,6203243341,32,41,Dak'fron,620.25,-433.6796875,-165,0,Deep Desert,Brown
43693,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,627,484,6274248409,42,9,Dak'fron,627.328125,-484.9296875,-86,0,Deep Desert,Brown
43694,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,636,470,63612247005,122,5,Dak'fron,636.953125,-470.9609375,-4,0,Deep Desert,Brown
43695,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,598,474,598108474116,108,116,Dak'fron,598.84375,-474.09375,-130,0,Deep Desert,Brown
43696,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,520,465,52010146554,101,54,Dak'fron,520.7890625,-465.578125,-146,0,Deep Desert,Brown
43697,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,590,453,5909245352,92,52,Dak'fron,590.71875,-453.59375,-143,-1,Deep Desert,Brown
43698,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,616,470,616123470119,123,119,Dak'fron,616.9609375,-470.0703125,180,-2,Deep Desert,Brown
43699,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,513,472,5130447201,4,1,Dak'fron,513.03125,-472.9921875,21,-4,Deep Desert,Brown
43700,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,585,449,58511844987,118,87,Dak'fron,585.921875,-449.3203125,-80,-2,Deep Desert,Brown
43701,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,560,470,56013470127,13,127,Dak'fron,560.1015625,-470.0078125,-124,-19,Deep Desert,Brown
43703,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,630,440,6309644008,96,8,Dak'fron,630.75,-440.9375,94,-16,Deep Desert,Brown
43704,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,548,474,54812847473,128,73,Dak'fron,549,-474.4296875,-39,0,Deep Desert,Brown
43705,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,663,462,6637946223,79,23,Dak'fron,663.6171875,-462.8203125,90,0,Deep Desert,Brown
43706,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,634,481,63474481125,74,125,Dak'fron,634.578125,-481.0234375,-75,0,Deep Desert,Brown
43707,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,588,474,5889947405,99,5,Dak'fron,588.7734375,-474.9609375,-166,0,Deep Desert,Brown
43709,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,696,492,696120492126,120,126,Dak'fron,696.9375,-492.015625,-88,0,Deep Desert,Brown
43711,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,565,483,5652948364,29,64,Dak'fron,565.2265625,-483.5,145,-4,Deep Desert,Brown
43712,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,626,434,6260543414,5,14,Dak'fron,626.0390625,-434.890625,-107,-17,Deep Desert,Brown
43713,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,562,469,56210346908,103,8,Dak'fron,562.8046875,-469.9375,24,-18,Deep Desert,Brown
43715,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,639,443,639116443116,116,116,Dak'fron,639.90625,-443.09375,-123,-30,Deep Desert,Brown
43716,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,593,455,59370455125,70,125,Dak'fron,593.546875,-455.0234375,-140,0,Deep Desert,Brown
43717,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,729,493,72911249396,112,96,Dak'fron,729.875,-493.25,65,0,Deep Desert,Brown
43718,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,625,484,6253248487,32,87,Dak'fron,625.25,-484.3203125,-142,0,Deep Desert,Brown
43719,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,692,492,69246492127,46,127,Dak'fron,692.359375,-492.0078125,123,0,Deep Desert,Brown
43720,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,623,482,6236848237,68,37,Dak'fron,623.53125,-482.7109375,-103,-27,Deep Desert,Brown
43721,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,626,485,62670485120,70,120,Dak'fron,626.546875,-485.0625,-113,-28,Deep Desert,Brown
43723,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,570,472,57031472118,31,118,Dak'fron,570.2421875,-472.078125,-71,-10,Deep Desert,Brown
43724,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,629,470,6298147013,81,13,Dak'fron,629.6328125,-470.8984375,177,0,Deep Desert,Brown
43725,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,643,455,6433245516,32,16,Dak'fron,643.25,-455.875,80,-27,Deep Desert,Brown
43726,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,516,476,5169847638,98,38,Dak'fron,516.765625,-476.703125,143,-5,Deep Desert,Brown
43727,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,569,486,569122486118,122,118,Dak'fron,569.953125,-486.078125,29,-3,Deep Desert,Brown
43729,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,627,485,62728485108,28,108,Dak'fron,627.21875,-485.15625,148,-5,Deep Desert,Brown
43730,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,552,472,55206472124,6,124,Dak'fron,552.046875,-472.03125,-97,0,Deep Desert,Brown
43731,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,698,492,69846492109,46,109,Dak'fron,698.359375,-492.1484375,-113,0,Deep Desert,Brown
43732,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,571,487,5713648772,36,72,Dak'fron,571.28125,-487.4375,112,0,Deep Desert,Brown
43733,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,615,439,6159843935,98,35,Dak'fron,615.765625,-439.7265625,-25,0,Deep Desert,Brown
43735,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,586,474,5867147401,71,1,Dak'fron,586.5546875,-474.9921875,7,-19,Deep Desert,Brown
43736,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,537,467,5377046724,70,24,Dak'fron,537.546875,-467.8125,-43,-29,Deep Desert,Brown
43737,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,625,484,62512048403,120,3,Dak'fron,625.9375,-484.9765625,151,-30,Deep Desert,Brown
43738,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,649,464,649123464119,123,119,Dak'fron,649.9609375,-464.0703125,14,-1,Deep Desert,Brown
43739,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,541,477,541114477127,114,127,Dak'fron,541.890625,-477.0078125,-6,-18,Deep Desert,Brown
43740,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,571,487,5712548759,25,59,Dak'fron,571.1953125,-487.5390625,100,-8,Deep Desert,Brown
43741,Rocks,1,WOD_Rocks_Flat_Brown_Large_04,686,487,686118487118,118,118,Dak'fron,686.921875,-487.078125,-29,-11,Deep Desert,Brown
43742,Rocks,1,WOD_Rocks_Flat_Brown_Large_06,554,469,5545646940,56,40,Dak'fron,554.4375,-469.6875,105,-12,Deep Desert,Brown
43743,Rocks,1,WOD_Rocks_Flat_Brown_Large_07,499,473,4997047324,70,24,Dak'fron,499.546875,-473.8125,-29,-6,Deep Desert,Brown
43744,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,586,449,5865944928,59,28,Dak'fron,586.4609375,-449.78125,-123,0,Deep Desert,Brown
43746,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,613,471,6139047155,90,55,Dak'fron,613.703125,-471.5703125,4,0,Deep Desert,Brown
43747,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,518,480,51810748078,107,78,Dak'fron,518.8359375,-480.390625,180,0,Deep Desert,Brown
43748,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,612,444,6126944417,69,17,Dak'fron,612.5390625,-444.8671875,14,0,Deep Desert,Brown
43749,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,622,434,6225143405,51,5,Dak'fron,622.3984375,-434.9609375,-26,0,Deep Desert,Brown
43750,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,588,495,5885749503,57,3,Dak'fron,588.4453125,-495.9765625,22,0,Deep Desert,Brown
43751,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,557,469,5573446908,34,8,Dak'fron,557.265625,-469.9375,46,-1,Deep Desert,Brown
43752,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,660,463,6609246305,92,5,Dak'fron,660.71875,-463.9609375,-163,-15,Deep Desert,Brown
43753,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,568,484,5686548426,65,26,Dak'fron,568.5078125,-484.796875,163,-25,Deep Desert,Brown
43754,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,498,473,4983647324,36,24,Dak'fron,498.28125,-473.8125,-74,-16,Deep Desert,Brown
43755,Rocks,1,WOD_Rocks_Flat_Brown_Medium_11,633,468,6339846835,98,35,Dak'fron,633.765625,-468.7265625,-157,-2,Deep Desert,Brown
43756,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,595,488,59584488126,84,126,Dak'fron,595.65625,-488.015625,163,-15,Deep Desert,Brown
43757,Rocks,1,WOD_Rocks_Flat_Brown_Large_04,590,455,59012045583,120,83,Dak'fron,590.9375,-455.3515625,125,-1,Deep Desert,Brown
43759,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,731,492,73110349208,103,8,Dak'fron,731.8046875,-492.9375,40,0,Deep Desert,Brown
