fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink
1038,Desert Mountain,1,WOD_Mountain_Desert_02,26,678,470,45,72,6784547072,Dak'fron,678.3515625,-470.4375,9,1
1039,Desert Mountain,1,WOD_Mountain_Desert_03,114,591,483,114,83,59111448383,Dak'fron,591.890625,-483.3515625,9,1
1042,Desert Mountain,1,WOD_Mountain_Desert_06,89,573,450,17,55,5731745055,Dak'fron,573.1328125,-450.5703125,9,1
1043,Desert Mountain,1,WOD_Mountain_Desert_07,62,670,452,110,72,67011045272,Dak'fron,670.859375,-452.4375,9,1
1044,Desert Mountain,1,WOD_Mountain_Desert_01,-91,542,473,37,97,5423747397,Dak'fron,542.2890625,-473.2421875,9,1
1045,Desert Mountain,1,WOD_Mountain_Desert_02,-112,703,471,45,100,70345471100,Dak'fron,703.3515625,-471.21875,9,1
1047,Desert Mountain,1,WOD_Mountain_Desert_04,-55,531,471,28,49,5312847149,Dak'fron,531.21875,-471.6171875,9,1
1050,Desert Mountain,1,WOD_Mountain_Desert_07,72,556,493,92,61,5569249361,Dak'fron,556.71875,-493.5234375,9,1
1051,Desert Mountain,1,WOD_Mountain_Desert_01,-175,632,452,73,82,6327345282,Dak'fron,632.5703125,-452.359375,9,1
1053,Desert Mountain,1,WOD_Mountain_Desert_03,-139,627,444,83,79,6278344479,Dak'fron,627.6484375,-444.3828125,9,1
1054,Desert Mountain,1,WOD_Mountain_Desert_04,25,510,480,88,46,5108848046,Dak'fron,510.6875,-480.640625,9,1
1055,Desert Mountain,1,WOD_Mountain_Desert_05,4,651,485,58,105,65158485105,Dak'fron,651.453125,-485.1796875,9,1
1057,Desert Mountain,1,WOD_Mountain_Desert_07,165,677,492,91,101,67791492101,Dak'fron,677.7109375,-492.2109375,9,1
1058,Desert Mountain,1,WOD_Mountain_Desert_01,-124,558,455,13,18,5581345518,Dak'fron,558.1015625,-455.859375,9,1
1063,Desert Mountain,1,WOD_Mountain_Desert_06,152,622,486,91,95,6229148695,Dak'fron,622.7109375,-486.2578125,9,1
1064,Desert Mountain,1,WOD_Mountain_Desert_07,67,703,475,0,36,7030047536,Dak'fron,703,-475.71875,9,1
1068,Desert Mountain,1,WOD_Mountain_Desert_04,-73,515,495,50,127,51550495127,Dak'fron,515.390625,-495.0078125,9,1
1069,Desert Mountain,1,WOD_Mountain_Desert_05,-172,609,459,1,113,60901459113,Dak'fron,609.0078125,-459.1171875,9,1
1070,Desert Mountain,1,WOD_Mountain_Desert_06,-69,560,497,104,70,56010449770,Dak'fron,560.8125,-497.453125,9,1
1071,Desert Mountain,1,WOD_Mountain_Desert_07,-154,626,489,111,18,62611148918,Dak'fron,626.8671875,-489.859375,9,1
1072,Desert Mountain,1,WOD_Mountain_Desert_01,-50,615,454,90,120,61590454120,Dak'fron,615.703125,-454.0625,9,1
1074,Desert Mountain,1,WOD_Mountain_Desert_03,-28,624,497,32,95,6243249795,Dak'fron,624.25,-497.2578125,9,1
1076,Desert Mountain,1,WOD_Mountain_Desert_05,-7,600,481,111,73,60011148173,Dak'fron,600.8671875,-481.4296875,9,1
1081,Desert Mountain,1,WOD_Mountain_Desert_03,102,628,454,24,69,6282445469,Dak'fron,628.1875,-454.4609375,9,1
1082,Desert Mountain,1,WOD_Mountain_Desert_04,-50,654,477,38,122,65438477122,Dak'fron,654.296875,-477.046875,9,1
1084,Desert Mountain,1,WOD_Mountain_Desert_06,143,506,477,31,36,5063147736,Dak'fron,506.2421875,-477.71875,9,1
1085,Desert Mountain,1,WOD_Mountain_Desert_07,65,665,477,4,84,6650447784,Dak'fron,665.03125,-477.34375,9,1
1088,Desert Mountain,1,WOD_Mountain_Desert_03,54,477,497,45,105,47745497105,Dak'fron,477.3515625,-497.1796875,9,1
1089,Desert Mountain,1,WOD_Mountain_Desert_04,106,667,491,115,58,66711549158,Dak'fron,667.8984375,-491.546875,9,1
1090,Desert Mountain,1,WOD_Mountain_Desert_05,-47,543,464,102,8,54310246408,Dak'fron,543.796875,-464.9375,9,1
1091,Desert Mountain,1,WOD_Mountain_Desert_06,-121,634,493,28,102,63428493102,Dak'fron,634.21875,-493.203125,9,1
1092,Desert Mountain,1,WOD_Mountain_Desert_07,-68,674,490,81,52,6748149052,Dak'fron,674.6328125,-490.59375,9,1
1093,Desert Mountain,1,WOD_Mountain_Desert_01,65,662,444,84,61,6628444461,Dak'fron,662.65625,-444.5234375,9,1
1094,Desert Mountain,1,WOD_Mountain_Desert_02,-53,638,451,108,67,63810845167,Dak'fron,638.84375,-451.4765625,9,1
1097,Desert Mountain,1,WOD_Mountain_Desert_05,129,647,469,122,74,64712246974,Dak'fron,647.953125,-469.421875,9,1
1098,Desert Mountain,1,WOD_Mountain_Desert_06,-157,536,497,47,120,53647497120,Dak'fron,536.3671875,-497.0625,9,1
1099,Desert Mountain,1,WOD_Mountain_Desert_07,-75,581,480,51,114,58151480114,Dak'fron,581.3984375,-480.109375,9,1
1100,Desert Mountain,1,WOD_Mountain_Desert_01,-111,626,465,123,63,62612346563,Dak'fron,626.9609375,-465.5078125,9,1
1104,Desert Mountain,1,WOD_Mountain_Desert_05,-134,662,450,96,52,6629645052,Dak'fron,662.75,-450.59375,9,1
1105,Desert Mountain,1,WOD_Mountain_Desert_06,-168,576,470,20,60,5762047060,Dak'fron,576.15625,-470.53125,9,1
1106,Desert Mountain,1,WOD_Mountain_Desert_07,19,486,497,45,1,4864549701,Dak'fron,486.3515625,-497.9921875,9,1
1108,Desert Mountain,1,WOD_Mountain_Desert_02,81,592,461,44,44,5924446144,Dak'fron,592.34375,-461.65625,9,1
1112,Desert Mountain,1,WOD_Mountain_Desert_06,149,557,495,10,31,5571049531,Dak'fron,557.078125,-495.7578125,9,1
1113,Desert Mountain,1,WOD_Mountain_Desert_07,40,536,473,125,73,53612547373,Dak'fron,536.9765625,-473.4296875,9,1
1114,Desert Mountain,1,WOD_Mountain_Desert_01,-108,659,492,51,14,6595149214,Dak'fron,659.3984375,-492.890625,9,1
1116,Desert Mountain,1,WOD_Mountain_Desert_03,-8,662,491,5,12,6620549112,Dak'fron,662.0390625,-491.90625,9,1
1117,Desert Mountain,1,WOD_Mountain_Desert_04,103,610,463,119,17,61011946317,Dak'fron,610.9296875,-463.8671875,9,1
1119,Desert Mountain,1,WOD_Mountain_Desert_06,-146,600,481,33,44,6003348144,Dak'fron,600.2578125,-481.65625,9,1
1120,Desert Mountain,1,WOD_Mountain_Desert_07,53,595,471,91,24,5959147124,Dak'fron,595.7109375,-471.8125,9,1
1122,Desert Mountain,1,WOD_Mountain_Desert_02,-175,680,494,67,119,68067494119,Dak'fron,680.5234375,-494.0703125,9,1
1123,Desert Mountain,1,WOD_Mountain_Desert_03,-93,576,449,44,101,57644449101,Dak'fron,576.34375,-449.2109375,9,1
1125,Desert Mountain,1,WOD_Mountain_Desert_05,93,682,476,14,114,68214476114,Dak'fron,682.109375,-476.109375,9,1
1129,Desert Mountain,1,WOD_Mountain_Desert_02,51,513,497,20,122,51320497122,Dak'fron,513.15625,-497.046875,9,1
1130,Desert Mountain,1,WOD_Mountain_Desert_03,-127,625,494,84,51,6258449451,Dak'fron,625.65625,-494.6015625,9,1
1131,Desert Mountain,1,WOD_Mountain_Desert_04,-157,534,497,31,23,5343149723,Dak'fron,534.2421875,-497.8203125,9,1
1132,Desert Mountain,1,WOD_Mountain_Desert_05,157,602,463,37,83,6023746383,Dak'fron,602.2890625,-463.3515625,9,1
1133,Desert Mountain,1,WOD_Mountain_Desert_06,116,663,481,88,90,6638848190,Dak'fron,663.6875,-481.296875,9,1
1134,Desert Mountain,1,WOD_Mountain_Desert_07,-29,536,490,38,6,5363849006,Dak'fron,536.296875,-490.953125,9,1
1135,Desert Mountain,1,WOD_Mountain_Desert_01,-131,623,460,61,40,6236146040,Dak'fron,623.4765625,-460.6875,9,1
1138,Desert Mountain,1,WOD_Mountain_Desert_04,139,677,472,6,32,6770647232,Dak'fron,677.046875,-472.75,9,1
1139,Desert Mountain,1,WOD_Mountain_Desert_05,43,662,481,77,81,6627748181,Dak'fron,662.6015625,-481.3671875,9,1
1140,Desert Mountain,1,WOD_Mountain_Desert_06,-91,494,495,56,92,4945649592,Dak'fron,494.4375,-495.28125,9,1
1142,Desert Mountain,1,WOD_Mountain_Desert_01,51,655,466,77,101,65577466101,Dak'fron,655.6015625,-466.2109375,9,1
1143,Desert Mountain,1,WOD_Mountain_Desert_02,-33,676,492,31,96,6763149296,Dak'fron,676.2421875,-492.25,9,1
1146,Desert Mountain,1,WOD_Mountain_Desert_05,-55,512,476,59,36,5125947636,Dak'fron,512.4609375,-476.71875,9,1
1148,Desert Mountain,1,WOD_Mountain_Desert_07,-9,550,478,86,122,55086478122,Dak'fron,550.671875,-478.046875,9,1
1154,Desert Mountain,1,WOD_Mountain_Desert_06,-113,655,466,1,58,6550146658,Dak'fron,655.0078125,-466.546875,9,1
1155,Desert Mountain,1,WOD_Mountain_Desert_07,-115,598,460,92,28,5989246028,Dak'fron,598.71875,-460.78125,9,1
1156,Desert Mountain,1,WOD_Mountain_Desert_01,-157,605,473,84,32,6058447332,Dak'fron,605.65625,-473.75,9,1
1158,Desert Mountain,1,WOD_Mountain_Desert_03,67,695,477,46,6,6954647706,Dak'fron,695.359375,-477.953125,9,1
1162,Desert Mountain,1,WOD_Mountain_Desert_07,126,592,445,82,101,59282445101,Dak'fron,592.640625,-445.2109375,9,1
1165,Desert Mountain,1,WOD_Mountain_Desert_03,-34,624,458,35,6,6243545806,Dak'fron,624.2734375,-458.953125,9,1
1166,Desert Mountain,1,WOD_Mountain_Desert_04,-142,693,475,68,97,6936847597,Dak'fron,693.53125,-475.2421875,9,1
1167,Desert Mountain,1,WOD_Mountain_Desert_05,28,612,438,4,114,61204438114,Dak'fron,612.03125,-438.109375,9,1
1168,Desert Mountain,1,WOD_Mountain_Desert_06,-170,527,471,110,100,527110471100,Dak'fron,527.859375,-471.21875,9,1
1169,Desert Mountain,1,WOD_Mountain_Desert_07,178,620,439,12,60,6201243960,Dak'fron,620.09375,-439.53125,9,1
1170,Desert Mountain,1,WOD_Mountain_Desert_01,-140,627,493,3,90,6270349390,Dak'fron,627.0234375,-493.296875,9,1
1171,Desert Mountain,1,WOD_Mountain_Desert_02,-107,545,496,78,15,5457849615,Dak'fron,545.609375,-496.8828125,9,1
1172,Desert Mountain,1,WOD_Mountain_Desert_03,-23,580,471,1,108,58001471108,Dak'fron,580.0078125,-471.15625,9,1
1175,Desert Mountain,1,WOD_Mountain_Desert_06,-104,652,471,111,111,652111471111,Dak'fron,652.8671875,-471.1328125,9,1
1176,Desert Mountain,1,WOD_Mountain_Desert_07,15,657,495,74,31,6577449531,Dak'fron,657.578125,-495.7578125,9,1
1177,Desert Mountain,1,WOD_Mountain_Desert_01,43,550,491,70,102,55070491102,Dak'fron,550.546875,-491.203125,9,1
1180,Desert Mountain,1,WOD_Mountain_Desert_04,91,547,464,101,122,547101464122,Dak'fron,547.7890625,-464.046875,9,1
1181,Desert Mountain,1,WOD_Mountain_Desert_05,131,572,455,91,116,57291455116,Dak'fron,572.7109375,-455.09375,9,1
1182,Desert Mountain,1,WOD_Mountain_Desert_06,-48,596,441,28,33,5962844133,Dak'fron,596.21875,-441.7421875,9,1
1184,Desert Mountain,1,WOD_Mountain_Desert_01,-75,702,482,70,118,70270482118,Dak'fron,702.546875,-482.078125,9,1
1186,Desert Mountain,1,WOD_Mountain_Desert_03,-44,578,449,35,116,57835449116,Dak'fron,578.2734375,-449.09375,9,1
1188,Desert Mountain,1,WOD_Mountain_Desert_05,-89,542,467,115,115,542115467115,Dak'fron,542.8984375,-467.1015625,9,1
1192,Desert Mountain,1,WOD_Mountain_Desert_02,121,631,496,113,38,63111349638,Dak'fron,631.8828125,-496.703125,9,1
1195,Desert Mountain,1,WOD_Mountain_Desert_05,116,529,467,110,40,52911046740,Dak'fron,529.859375,-467.6875,9,1
1196,Desert Mountain,1,WOD_Mountain_Desert_06,137,643,460,122,45,64312246045,Dak'fron,643.953125,-460.6484375,9,1
1197,Desert Mountain,1,WOD_Mountain_Desert_07,127,572,484,84,124,57284484124,Dak'fron,572.65625,-484.03125,9,1
1198,Desert Mountain,1,WOD_Mountain_Desert_01,89,584,481,19,50,5841948150,Dak'fron,584.1484375,-481.609375,9,1
1199,Desert Mountain,1,WOD_Mountain_Desert_02,-152,689,467,70,49,6897046749,Dak'fron,689.546875,-467.6171875,9,1
1200,Desert Mountain,1,WOD_Mountain_Desert_03,-101,646,497,63,55,6466349755,Dak'fron,646.4921875,-497.5703125,9,1
