fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
175,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,810,90,116,45,Wrothgarian Mountains,810.921875,-90.6484375,4.0
188,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,954,201,72,104,Wrothgarian Mountains,954.5625,-201.1875,4.0
189,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,922,159,111,116,Wrothgarian Mountains,922.8671875,-159.09375,4.0
194,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,963,47,95,99,Wrothgarian Mountains,963.7421875,-47.2265625,4.0
197,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,791,68,86,14,Wrothgarian Mountains,791.671875,-68.890625,4.0
203,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,974,134,60,115,Wrothgarian Mountains,974.46875,-134.1015625,4.0
213,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,724,10,54,86,Wrothgarian Mountains,724.421875,-10.328125,4.0
215,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,786,75,95,113,Wrothgarian Mountains,786.7421875,-75.1171875,4.0
224,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,794,21,49,13,Wrothgarian Mountains,794.3828125,-21.9375,4.0
230,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,929,180,92,9,Wrothgarian Mountains,929.71875,-180.9375,4.0
238,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,939,144,93,9,Wrothgarian Mountains,939.7265625,-144.953125,4.0
241,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,847,74,73,91,Wrothgarian Mountains,847.5703125,-74.2890625,4.0
245,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,963,101,29,47,Wrothgarian Mountains,963.2265625,-101.6328125,4.0
255,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,965,113,63,69,Wrothgarian Mountains,965.4921875,-113.4609375,4.0
259,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,691,51,119,33,Wrothgarian Mountains,691.9375,-51.7421875,4.0
264,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,972,29,95,105,Wrothgarian Mountains,972.7421875,-29.1796875,4.0
281,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,785,101,47,108,Wrothgarian Mountains,785.3671875,-101.15625,4.0
282,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,710,44,114,105,Wrothgarian Mountains,710.890625,-44.1796875,4.0
286,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,873,57,9,49,Wrothgarian Mountains,873.0703125,-57.6171875,4.0
287,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,971,105,111,51,Wrothgarian Mountains,971.8671875,-105.6015625,4.0
288,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,818,120,100,27,Wrothgarian Mountains,818.78125,-120.7890625,4.0
299,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,742,100,69,19,Wrothgarian Mountains,742.5390625,-100.8515625,4.0
326,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,763,126,64,100,Wrothgarian Mountains,763.5,-126.21875,4.0
330,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,787,101,68,79,Wrothgarian Mountains,787.53125,-101.3828125,4.0
