name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Bandit Camp,0,WOD_BanditCamp_06,339,453,124,114,339124453114,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,381,482,91,42,3819148242,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,385,440,101,37,38510144037,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,493,402,17,92,4931740292,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,607,434,122,65,60712243465,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,300,479,28,106,30028479106,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,391,492,115,13,39111549213,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,307,495,113,52,30711349552,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,507,405,8,125,50708405125,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,556,417,49,93,5564941793,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,591,404,19,36,5911940436,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,579,410,111,77,57911141077,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,296,473,108,24,29610847324,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,371,413,27,77,3712741377,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,328,429,28,51,3282842951,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,247,487,86,110,24786487110,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,611,406,69,29,6116940629,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,276,452,111,74,27611145274,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,229,485,120,105,229120485105,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,466,462,60,69,4666046269,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,246,492,35,24,2463549224,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,343,413,54,20,3435441320,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,494,441,114,33,49411444133,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,622,405,55,45,6225540545,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,606,423,46,79,6064642379,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,390,483,108,111,390108483111,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,387,439,60,127,38760439127,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,285,454,93,37,2859345437,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,499,431,100,1,49910043101,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,434,496,36,119,43436496119,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,610,416,41,78,6104141678,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,354,463,15,60,3541546360,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,563,408,122,119,563122408119,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,308,482,124,18,30812448218,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,595,400,46,92,5954640092,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,384,483,114,79,38411448379,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,407,425,31,125,40731425125,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,384,456,10,24,3841045624,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,425,436,27,115,42527436115,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,573,425,55,45,5735542545,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,445,494,114,123,445114494123,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,361,438,116,123,361116438123,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,249,466,28,37,2492846637,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,587,393,88,68,5878839368,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,555,420,90,88,5559042088,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,478,472,20,12,4782047212,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,274,457,67,51,2746745751,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,378,474,64,55,3786447455,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,392,426,73,72,3927342672,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,572,431,42,100,57242431100,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,534,404,44,95,5344440495,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,298,475,105,59,29810547559,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,298,491,96,100,29896491100,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,480,471,27,82,4802747182,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,585,429,72,97,5857242997,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,347,426,122,54,34712242654,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,329,441,60,3,3296044103,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,366,491,52,41,3665249141,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,370,498,28,82,3702849882,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,317,486,24,4,3172448604,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,501,434,91,22,5019143422,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,554,420,100,96,55410042096,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,283,486,114,63,28311448663,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,505,411,59,93,5055941193,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,494,457,114,83,49411445783,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,250,471,93,6,2509347106,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,495,464,92,104,49592464104,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,330,479,31,28,3303147928,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,344,432,67,10,3446743210,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,323,499,122,59,32312249959,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,266,497,102,109,266102497109,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,338,489,47,47,3384748947,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,547,400,40,41,5474040041,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,566,414,73,23,5667341423,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,477,412,22,1,4772241201,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,245,489,99,4,2459948904,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,270,499,110,42,27011049942,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,592,389,49,97,5924938997,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,532,433,74,20,5327443320,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,305,469,119,36,30511946936,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,592,428,0,102,59200428102,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,500,437,19,8,5001943708,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,394,472,1,60,3940147260,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,383,412,65,37,3836541237,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,360,428,13,70,3601342870,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,330,435,77,12,3307743512,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,351,471,4,102,35104471102,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,301,451,20,76,3012045176,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,481,473,60,81,4816047381,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,272,491,40,50,2724049150,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,367,411,82,9,3678241109,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,630,427,63,91,6306342791,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,273,486,24,104,27324486104,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,442,484,113,1,44211348401,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,230,475,40,40,2304047540,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,341,449,69,37,3416944937,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,553,421,72,78,5537242178,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,451,491,113,9,45111349109,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,363,465,32,14,3633246514,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,299,489,84,116,29984489116,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,618,424,88,32,6188842432,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,595,395,84,23,5958439523,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,510,456,22,92,5102245692,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,588,433,37,109,58837433109,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,306,449,6,97,3060644997,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,522,397,91,51,5229139751,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,487,474,47,35,4874747435,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,468,480,8,63,4680848063,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,348,494,127,12,34812749412,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,261,498,24,74,2612449874,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,527,392,35,31,5273539231,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,379,477,3,41,3790347741,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,393,409,104,41,39310440941,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,366,481,33,38,3663348138,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,388,490,125,40,38812549040,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,487,410,4,45,4870441045,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,241,478,125,51,24112547851,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,482,477,50,18,4825047718,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,407,490,100,100,407100490100,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,395,476,119,13,39511947613,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,351,440,100,5,35110044005,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,296,488,96,29,2969648829,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,358,490,24,64,3582449064,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,446,443,47,10,4464744310,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,455,442,55,9,4555544209,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,457,470,3,65,4570347065,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,339,485,10,38,3391048538,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,285,455,72,93,2857245593,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,613,416,104,1,61310441601,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,621,427,76,29,6217642729,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,454,494,28,49,4542849449,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,379,470,104,4,37910447004,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,337,476,78,33,3377847633,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,436,440,67,5,4366744005,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,477,414,5,104,47705414104,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,552,433,91,111,55291433111,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,610,422,14,69,6101442269,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,370,484,13,33,3701348433,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,381,464,50,96,3815046496,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,457,459,124,73,45712445973,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,214,489,52,45,2145248945,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,542,391,9,15,5420939115,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,378,417,32,5,3783241705,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,494,465,51,33,4945146533,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,386,430,4,101,38604430101,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,499,411,88,32,4998841132,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,251,482,93,37,2519348237,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,614,401,44,74,6144440174,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,343,462,127,73,34312746273,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,254,458,38,120,25438458120,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,590,391,50,33,5905039133,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,610,396,20,125,61020396125,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,385,421,49,86,3854942186,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,370,452,100,13,37010045213,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,362,464,8,111,36208464111,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,375,470,68,28,3756847028,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,484,423,28,70,4842842370,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,354,467,105,10,35410546710,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,276,466,127,9,27612746609,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,396,417,116,26,39611641726,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,333,491,56,51,3335649151,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,472,406,97,58,4729740658,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,376,428,24,81,3762442881,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,609,424,83,1,6098342401,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,365,442,74,111,36574442111,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,460,474,67,102,46067474102,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,505,430,92,69,5059243069,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,357,414,92,122,35792414122,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,362,433,38,40,3623843340,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,456,474,102,99,45610247499,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,330,472,29,52,3302947252,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,344,480,45,95,3444548095,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,380,495,86,29,3808649529,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,398,427,70,42,3987042742,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,386,479,60,0,3866047900,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,611,402,45,119,61145402119,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,385,462,100,18,38510046218,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,347,470,52,97,3475247097,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,459,477,28,70,4592847770,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,425,488,111,88,42511148888,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,378,454,118,113,378118454113,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,534,414,13,92,5341341492,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,527,423,51,120,52751423120,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,555,395,102,19,55510239519,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,240,494,120,106,240120494106,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,549,426,73,95,5497342695,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,320,463,79,22,3207946322,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,440,485,51,123,44051485123,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,339,450,108,120,339108450120,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,454,465,37,104,45437465104,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,536,424,12,42,5361242442,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,422,489,13,95,4221348995,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,459,493,19,22,4591949322,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,357,446,82,109,35782446109,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,364,463,110,118,364110463118,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,310,485,95,51,3109548551,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,355,422,35,26,3553542226,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,502,397,17,1,5021739701,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,386,445,114,105,386114445105,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,229,492,47,77,2294749277,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,381,419,102,58,38110241958,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,628,430,74,68,6287443068,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,572,420,40,73,5724042073,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,580,432,10,97,5801043297,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,343,475,68,90,3436847590,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,260,460,92,50,2609246050,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,345,492,73,73,3457349273,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,376,431,14,88,3761443188,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,389,476,88,78,3898847678,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,274,474,88,33,2748847433,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,451,468,122,9,45112246809,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,409,483,99,120,40999483120,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,355,478,23,24,3552347824,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,260,472,44,40,2604447240,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,535,413,86,42,5358641342,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,537,443,90,124,53790443124,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,415,433,101,104,415101433104,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,611,414,127,125,611127414125,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,351,491,52,65,3515249165,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,250,499,81,91,2508149991,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,584,428,74,69,5847442869,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,473,476,81,14,4738147614,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,257,464,118,46,25711846446,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,453,479,24,9,4532447909,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,572,426,67,122,57267426122,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,370,481,15,41,3701548141,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,269,462,45,63,2694546263,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,405,498,61,8,4056149808,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,442,448,72,17,4427244817,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,219,495,116,83,21911649583,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,476,401,60,64,4766040164,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,319,452,3,95,3190345295,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,354,440,87,83,3548744083,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,412,492,108,29,41210849229,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,373,417,52,93,3735241793,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,513,425,12,26,5131242526,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,328,464,22,109,32822464109,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,352,444,42,5,3524244405,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,567,428,49,119,56749428119,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,367,446,36,60,3673644660,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,631,424,91,40,6319142440,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,382,460,44,90,3824446090,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,391,432,56,116,39156432116,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,461,469,84,54,4618446954,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,593,396,13,8,5931339608,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,361,428,97,26,3619742826,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,302,457,6,114,30206457114,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,233,473,106,41,23310647341,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,397,417,45,99,3974541799,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,316,436,106,90,31610643690,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,280,454,67,81,2806745481,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,460,459,33,13,4603345913,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,373,447,63,33,3736344733,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,456,445,88,83,4568844583,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,366,424,119,59,36611942459,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,621,421,36,18,6213642118,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,406,493,47,69,4064749369,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,472,412,6,70,4720641270,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,310,451,64,116,31064451116,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,468,470,92,51,4689247051,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,615,390,92,20,6159239020,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,612,427,54,118,61254427118,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,348,489,113,99,34811348999,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,345,455,97,51,3459745551,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,410,433,127,15,41012743315,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,451,481,65,122,45165481122,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,335,495,125,24,33512549524,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,227,496,97,9,2279749609,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,331,484,127,108,331127484108,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,364,409,61,6,3646140906,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,490,458,74,106,49074458106,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,226,496,82,51,2268249651,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,278,477,36,95,2783647795,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,489,414,69,0,4896941400,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,334,444,55,37,3345544437,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,262,491,35,123,26235491123,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,368,433,93,42,3689343342,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,291,478,78,19,2917847819,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,628,414,15,13,6281541413,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,417,434,108,13,41710843413,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,379,496,44,124,37944496124,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,493,469,104,118,493104469118,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,554,400,6,54,5540640054,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,503,444,52,23,5035244423,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,277,480,122,40,27712248040,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,468,489,26,125,46826489125,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,293,476,114,19,29311447619,Alik'r Desert
