fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink
67,Desert Mountain,1,WOD_Mountain_Desert_04,-166,364,448,52,61,3645244861,Alik'r Desert,364.40625,-448.5234375,8,1
69,Desert Mountain,1,WOD_Mountain_Desert_06,-105,300,487,52,79,3005248779,Alik'r Desert,300.40625,-487.3828125,8,1
72,Desert Mountain,1,WOD_Mountain_Desert_02,-149,349,420,55,63,3495542063,Alik'r Desert,349.4296875,-420.5078125,8,1
73,Desert Mountain,1,WOD_Mountain_Desert_03,-124,319,454,90,120,31990454120,Alik'r Desert,319.703125,-454.0625,8,1
74,Desert Mountain,1,WOD_Mountain_Desert_04,18,354,482,15,44,3541548244,Alik'r Desert,354.1171875,-482.65625,8,1
75,Desert Mountain,1,WOD_Mountain_Desert_05,21,567,408,70,46,5677040846,Alik'r Desert,567.546875,-408.640625,8,1
78,Desert Mountain,1,WOD_Mountain_Desert_01,-128,556,385,70,47,5567038547,Alik'r Desert,556.546875,-385.6328125,8,1
79,Desert Mountain,1,WOD_Mountain_Desert_02,-73,487,400,97,31,4879740031,Alik'r Desert,487.7578125,-400.7578125,8,1
80,Desert Mountain,1,WOD_Mountain_Desert_03,67,589,399,23,81,5892339981,Alik'r Desert,589.1796875,-399.3671875,8,1
87,Desert Mountain,1,WOD_Mountain_Desert_03,-31,472,482,115,13,47211548213,Alik'r Desert,472.8984375,-482.8984375,8,1
89,Desert Mountain,1,WOD_Mountain_Desert_05,-56,575,428,100,54,57510042854,Alik'r Desert,575.78125,-428.578125,8,1
90,Desert Mountain,1,WOD_Mountain_Desert_06,-163,551,388,70,58,5517038858,Alik'r Desert,551.546875,-388.546875,8,1
94,Desert Mountain,1,WOD_Mountain_Desert_03,-57,274,486,113,13,27411348613,Alik'r Desert,274.8828125,-486.8984375,8,1
96,Desert Mountain,1,WOD_Mountain_Desert_05,-92,443,450,32,14,4433245014,Alik'r Desert,443.25,-450.890625,8,1
100,Desert Mountain,1,WOD_Mountain_Desert_02,-151,273,464,28,49,2732846449,Alik'r Desert,273.21875,-464.6171875,8,1
104,Desert Mountain,1,WOD_Mountain_Desert_06,-101,369,462,120,77,36912046277,Alik'r Desert,369.9375,-462.3984375,8,1
105,Desert Mountain,1,WOD_Mountain_Desert_07,48,262,479,59,68,2625947968,Alik'r Desert,262.4609375,-479.46875,8,1
106,Desert Mountain,1,WOD_Mountain_Desert_01,109,285,457,93,82,2859345782,Alik'r Desert,285.7265625,-457.359375,8,1
109,Desert Mountain,1,WOD_Mountain_Desert_04,-59,538,392,125,82,53812539282,Alik'r Desert,538.9765625,-392.359375,8,1
111,Desert Mountain,1,WOD_Mountain_Desert_06,-118,353,479,72,42,3537247942,Alik'r Desert,353.5625,-479.671875,8,1
112,Desert Mountain,1,WOD_Mountain_Desert_07,-18,228,481,125,123,228125481123,Alik'r Desert,228.9765625,-481.0390625,8,1
113,Desert Mountain,1,WOD_Mountain_Desert_01,-93,255,486,81,46,2558148646,Alik'r Desert,255.6328125,-486.640625,8,1
115,Desert Mountain,1,WOD_Mountain_Desert_03,-98,513,444,3,79,5130344479,Alik'r Desert,513.0234375,-444.3828125,8,1
117,Desert Mountain,1,WOD_Mountain_Desert_05,-57,364,492,23,65,3642349265,Alik'r Desert,364.1796875,-492.4921875,8,1
122,Desert Mountain,1,WOD_Mountain_Desert_03,31,364,457,61,8,3646145708,Alik'r Desert,364.4765625,-457.9375,8,1
123,Desert Mountain,1,WOD_Mountain_Desert_04,37,512,416,125,79,51212541679,Alik'r Desert,512.9765625,-416.3828125,8,1
126,Desert Mountain,1,WOD_Mountain_Desert_07,24,477,480,73,111,47773480111,Alik'r Desert,477.5703125,-480.1328125,8,1
129,Desert Mountain,1,WOD_Mountain_Desert_03,4,302,445,23,123,30223445123,Alik'r Desert,302.1796875,-445.0390625,8,1
130,Desert Mountain,1,WOD_Mountain_Desert_04,-32,472,487,101,113,472101487113,Alik'r Desert,472.7890625,-487.1171875,8,1
132,Desert Mountain,1,WOD_Mountain_Desert_06,126,398,486,33,42,3983348642,Alik'r Desert,398.2578125,-486.671875,8,1
135,Desert Mountain,1,WOD_Mountain_Desert_02,135,510,413,20,35,5102041335,Alik'r Desert,510.15625,-413.7265625,8,1
136,Desert Mountain,1,WOD_Mountain_Desert_03,53,370,471,9,69,3700947169,Alik'r Desert,370.0703125,-471.4609375,8,1
137,Desert Mountain,1,WOD_Mountain_Desert_04,-155,317,454,127,56,31712745456,Alik'r Desert,317.9921875,-454.5625,8,1
138,Desert Mountain,1,WOD_Mountain_Desert_05,-88,321,460,9,52,3210946052,Alik'r Desert,321.0703125,-460.59375,8,1
139,Desert Mountain,1,WOD_Mountain_Desert_06,34,396,473,41,49,3964147349,Alik'r Desert,396.3203125,-473.6171875,8,1
142,Desert Mountain,1,WOD_Mountain_Desert_02,-116,443,485,4,32,4430448532,Alik'r Desert,443.03125,-485.75,8,1
146,Desert Mountain,1,WOD_Mountain_Desert_06,-54,369,412,99,104,36999412104,Alik'r Desert,369.7734375,-412.1875,8,1
149,Desert Mountain,1,WOD_Mountain_Desert_02,-126,268,464,95,27,2689546427,Alik'r Desert,268.7421875,-464.7890625,8,1
150,Desert Mountain,1,WOD_Mountain_Desert_03,73,552,388,49,95,5524938895,Alik'r Desert,552.3828125,-388.2578125,8,1
155,Desert Mountain,1,WOD_Mountain_Desert_01,-109,502,456,111,18,50211145618,Alik'r Desert,502.8671875,-456.859375,8,1
157,Desert Mountain,1,WOD_Mountain_Desert_03,106,290,455,118,108,290118455108,Alik'r Desert,290.921875,-455.15625,8,1
159,Desert Mountain,1,WOD_Mountain_Desert_05,-117,313,448,64,124,31364448124,Alik'r Desert,313.5,-448.03125,8,1
160,Desert Mountain,1,WOD_Mountain_Desert_06,127,284,475,93,27,2849347527,Alik'r Desert,284.7265625,-475.7890625,8,1
163,Desert Mountain,1,WOD_Mountain_Desert_02,-65,500,436,54,9,5005443609,Alik'r Desert,500.421875,-436.9296875,8,1
165,Desert Mountain,1,WOD_Mountain_Desert_04,19,411,436,77,67,4117743667,Alik'r Desert,411.6015625,-436.4765625,8,1
167,Desert Mountain,1,WOD_Mountain_Desert_06,-9,358,438,123,52,35812343852,Alik'r Desert,358.9609375,-438.59375,8,1
169,Desert Mountain,1,WOD_Mountain_Desert_01,-112,486,429,51,45,4865142945,Alik'r Desert,486.3984375,-429.6484375,8,1
172,Desert Mountain,1,WOD_Mountain_Desert_04,-97,397,472,104,69,39710447269,Alik'r Desert,397.8125,-472.4609375,8,1
176,Desert Mountain,1,WOD_Mountain_Desert_01,-160,563,438,64,8,5636443808,Alik'r Desert,563.5,-438.9375,8,1
177,Desert Mountain,1,WOD_Mountain_Desert_02,-111,456,494,64,20,4566449420,Alik'r Desert,456.5,-494.84375,8,1
182,Desert Mountain,1,WOD_Mountain_Desert_07,-36,367,446,88,46,3678844646,Alik'r Desert,367.6875,-446.640625,8,1
187,Desert Mountain,1,WOD_Mountain_Desert_05,-75,552,400,84,47,5528440047,Alik'r Desert,552.65625,-400.6328125,8,1
190,Desert Mountain,1,WOD_Mountain_Desert_01,-145,564,382,65,32,5646538232,Alik'r Desert,564.5078125,-382.75,8,1
191,Desert Mountain,1,WOD_Mountain_Desert_02,157,330,449,33,99,3303344999,Alik'r Desert,330.2578125,-449.2265625,8,1
194,Desert Mountain,1,WOD_Mountain_Desert_05,-12,247,465,69,95,2476946595,Alik'r Desert,247.5390625,-465.2578125,8,1
196,Desert Mountain,1,WOD_Mountain_Desert_07,61,358,486,110,79,35811048679,Alik'r Desert,358.859375,-486.3828125,8,1
203,Desert Mountain,1,WOD_Mountain_Desert_07,157,554,441,100,46,55410044146,Alik'r Desert,554.78125,-441.640625,8,1
206,Desert Mountain,1,WOD_Mountain_Desert_03,-94,239,487,69,26,2396948726,Alik'r Desert,239.5390625,-487.796875,8,1
207,Desert Mountain,1,WOD_Mountain_Desert_04,-32,278,486,84,72,2788448672,Alik'r Desert,278.65625,-486.4375,8,1
209,Desert Mountain,1,WOD_Mountain_Desert_06,29,521,407,6,88,5210640788,Alik'r Desert,521.046875,-407.3125,8,1
210,Desert Mountain,1,WOD_Mountain_Desert_07,154,478,408,76,38,4787640838,Alik'r Desert,478.59375,-408.703125,8,1
211,Desert Mountain,1,WOD_Mountain_Desert_01,-134,537,431,5,123,53705431123,Alik'r Desert,537.0390625,-431.0390625,8,1
215,Desert Mountain,1,WOD_Mountain_Desert_05,21,415,432,22,67,4152243267,Alik'r Desert,415.171875,-432.4765625,8,1
217,Desert Mountain,1,WOD_Mountain_Desert_07,-43,310,455,74,100,31074455100,Alik'r Desert,310.578125,-455.21875,8,1
218,Desert Mountain,1,WOD_Mountain_Desert_01,1,533,435,109,8,53310943508,Alik'r Desert,533.8515625,-435.9375,8,1
219,Desert Mountain,1,WOD_Mountain_Desert_02,35,364,411,92,40,3649241140,Alik'r Desert,364.71875,-411.6875,8,1
220,Desert Mountain,1,WOD_Mountain_Desert_03,-96,519,414,28,128,51928414128,Alik'r Desert,519.21875,-414,8,1
224,Desert Mountain,1,WOD_Mountain_Desert_07,-79,246,475,44,3,2464447503,Alik'r Desert,246.34375,-475.9765625,8,1
225,Desert Mountain,1,WOD_Mountain_Desert_01,-122,318,433,77,54,3187743354,Alik'r Desert,318.6015625,-433.578125,8,1
229,Desert Mountain,1,WOD_Mountain_Desert_05,-120,261,494,42,106,26142494106,Alik'r Desert,261.328125,-494.171875,8,1
232,Desert Mountain,1,WOD_Mountain_Desert_01,-52,317,477,118,31,31711847731,Alik'r Desert,317.921875,-477.7578125,8,1
234,Desert Mountain,1,WOD_Mountain_Desert_03,-28,357,430,23,105,35723430105,Alik'r Desert,357.1796875,-430.1796875,8,1
236,Desert Mountain,1,WOD_Mountain_Desert_05,-154,546,423,91,29,5469142329,Alik'r Desert,546.7109375,-423.7734375,8,1
240,Desert Mountain,1,WOD_Mountain_Desert_02,-167,451,496,113,125,451113496125,Alik'r Desert,451.8828125,-496.0234375,8,1
241,Desert Mountain,1,WOD_Mountain_Desert_03,-28,598,410,44,115,59844410115,Alik'r Desert,598.34375,-410.1015625,8,1
242,Desert Mountain,1,WOD_Mountain_Desert_04,-111,568,418,6,33,5680641833,Alik'r Desert,568.046875,-418.7421875,8,1
245,Desert Mountain,1,WOD_Mountain_Desert_07,79,372,446,10,65,3721044665,Alik'r Desert,372.078125,-446.4921875,8,1
247,Desert Mountain,1,WOD_Mountain_Desert_02,13,555,405,38,58,5553840558,Alik'r Desert,555.296875,-405.546875,8,1
248,Desert Mountain,1,WOD_Mountain_Desert_03,-35,284,468,22,106,28422468106,Alik'r Desert,284.171875,-468.171875,8,1
249,Desert Mountain,1,WOD_Mountain_Desert_04,-130,338,461,91,120,33891461120,Alik'r Desert,338.7109375,-461.0625,8,1
250,Desert Mountain,1,WOD_Mountain_Desert_05,-174,588,419,47,13,5884741913,Alik'r Desert,588.3671875,-419.8984375,8,1
256,Desert Mountain,1,WOD_Mountain_Desert_04,34,524,441,41,49,5244144149,Alik'r Desert,524.3203125,-441.6171875,8,1
257,Desert Mountain,1,WOD_Mountain_Desert_05,11,444,439,120,6,44412043906,Alik'r Desert,444.9375,-439.953125,8,1
258,Desert Mountain,1,WOD_Mountain_Desert_06,-62,337,462,15,73,3371546273,Alik'r Desert,337.1171875,-462.4296875,8,1
259,Desert Mountain,1,WOD_Mountain_Desert_07,-176,242,497,95,95,2429549795,Alik'r Desert,242.7421875,-497.2578125,8,1
263,Desert Mountain,1,WOD_Mountain_Desert_04,164,563,392,113,74,56311339274,Alik'r Desert,563.8828125,-392.421875,8,1
265,Desert Mountain,1,WOD_Mountain_Desert_06,-53,367,416,61,49,3676141649,Alik'r Desert,367.4765625,-416.6171875,8,1
266,Desert Mountain,1,WOD_Mountain_Desert_07,43,505,433,26,3,5052643303,Alik'r Desert,505.203125,-433.9765625,8,1
267,Desert Mountain,1,WOD_Mountain_Desert_01,27,498,406,84,102,49884406102,Alik'r Desert,498.65625,-406.203125,8,1
272,Desert Mountain,1,WOD_Mountain_Desert_06,-59,598,412,92,26,5989241226,Alik'r Desert,598.71875,-412.796875,8,1
273,Desert Mountain,1,WOD_Mountain_Desert_07,6,593,412,19,68,5931941268,Alik'r Desert,593.1484375,-412.46875,8,1
274,Desert Mountain,1,WOD_Mountain_Desert_01,108,580,400,68,73,5806840073,Alik'r Desert,580.53125,-400.4296875,8,1
276,Desert Mountain,1,WOD_Mountain_Desert_03,-80,567,409,124,92,56712440992,Alik'r Desert,567.96875,-409.28125,8,1
277,Desert Mountain,1,WOD_Mountain_Desert_04,-133,558,405,124,4,55812440504,Alik'r Desert,558.96875,-405.96875,8,1
278,Desert Mountain,1,WOD_Mountain_Desert_05,59,242,461,17,54,2421746154,Alik'r Desert,242.1328125,-461.578125,8,1
279,Desert Mountain,1,WOD_Mountain_Desert_06,8,262,466,51,23,2625146623,Alik'r Desert,262.3984375,-466.8203125,8,1
280,Desert Mountain,1,WOD_Mountain_Desert_07,35,409,477,13,119,40913477119,Alik'r Desert,409.1015625,-477.0703125,8,1
283,Desert Mountain,1,WOD_Mountain_Desert_03,-175,586,433,78,77,5867843377,Alik'r Desert,586.609375,-433.3984375,8,1
284,Desert Mountain,1,WOD_Mountain_Desert_04,-34,389,473,87,68,3898747368,Alik'r Desert,389.6796875,-473.46875,8,1
287,Desert Mountain,1,WOD_Mountain_Desert_07,-112,459,468,116,0,45911646800,Alik'r Desert,459.90625,-469,8,1
289,Desert Mountain,1,WOD_Mountain_Desert_02,-6,453,487,124,50,45312448750,Alik'r Desert,453.96875,-487.609375,8,1
290,Desert Mountain,1,WOD_Mountain_Desert_03,-33,378,490,29,44,3782949044,Alik'r Desert,378.2265625,-490.65625,8,1
294,Desert Mountain,1,WOD_Mountain_Desert_07,-63,254,480,70,111,25470480111,Alik'r Desert,254.546875,-480.1328125,8,1
296,Desert Mountain,1,WOD_Mountain_Desert_02,86,526,397,125,4,52612539704,Alik'r Desert,526.9765625,-397.96875,8,1
297,Desert Mountain,1,WOD_Mountain_Desert_03,-70,498,422,84,99,4988442299,Alik'r Desert,498.65625,-422.2265625,8,1
298,Desert Mountain,1,WOD_Mountain_Desert_04,-138,434,485,96,72,4349648572,Alik'r Desert,434.75,-485.4375,8,1
299,Desert Mountain,1,WOD_Mountain_Desert_05,110,457,456,92,82,4579245682,Alik'r Desert,457.71875,-456.359375,8,1
300,Desert Mountain,1,WOD_Mountain_Desert_06,36,557,439,92,33,5579243933,Alik'r Desert,557.71875,-439.7421875,8,1
306,Desert Mountain,1,WOD_Mountain_Desert_05,-106,366,465,74,114,36674465114,Alik'r Desert,366.578125,-465.109375,8,1
307,Desert Mountain,1,WOD_Mountain_Desert_06,-89,329,484,123,29,32912348429,Alik'r Desert,329.9609375,-484.7734375,8,1
308,Desert Mountain,1,WOD_Mountain_Desert_07,-157,423,484,77,101,42377484101,Alik'r Desert,423.6015625,-484.2109375,8,1
315,Desert Mountain,1,WOD_Mountain_Desert_07,-125,400,427,6,51,4000642751,Alik'r Desert,400.046875,-427.6015625,8,1
316,Desert Mountain,1,WOD_Mountain_Desert_01,-38,416,445,13,54,4161344554,Alik'r Desert,416.1015625,-445.578125,8,1
320,Desert Mountain,1,WOD_Mountain_Desert_05,18,383,479,101,73,38310147973,Alik'r Desert,383.7890625,-479.4296875,8,1
321,Desert Mountain,1,WOD_Mountain_Desert_06,163,575,432,55,9,5755543209,Alik'r Desert,575.4296875,-432.9296875,8,1
328,Desert Mountain,1,WOD_Mountain_Desert_06,-85,554,387,106,125,554106387125,Alik'r Desert,554.828125,-387.0234375,8,1
330,Desert Mountain,1,WOD_Mountain_Desert_01,37,350,473,51,79,3505147379,Alik'r Desert,350.3984375,-473.3828125,8,1
331,Desert Mountain,1,WOD_Mountain_Desert_02,112,508,452,122,68,50812245268,Alik'r Desert,508.953125,-452.46875,8,1
332,Desert Mountain,1,WOD_Mountain_Desert_03,-150,320,471,40,12,3204047112,Alik'r Desert,320.3125,-471.90625,8,1
334,Desert Mountain,1,WOD_Mountain_Desert_05,100,400,480,33,101,40033480101,Alik'r Desert,400.2578125,-480.2109375,8,1
338,Desert Mountain,1,WOD_Mountain_Desert_02,77,561,386,118,87,56111838687,Alik'r Desert,561.921875,-386.3203125,8,1
339,Desert Mountain,1,WOD_Mountain_Desert_03,-112,532,400,19,114,53219400114,Alik'r Desert,532.1484375,-400.109375,8,1
340,Desert Mountain,1,WOD_Mountain_Desert_04,-112,503,443,91,26,5039144326,Alik'r Desert,503.7109375,-443.796875,8,1
341,Desert Mountain,1,WOD_Mountain_Desert_05,177,404,479,67,4,4046747904,Alik'r Desert,404.5234375,-479.96875,8,1
348,Desert Mountain,1,WOD_Mountain_Desert_05,-29,268,455,124,76,26812445576,Alik'r Desert,268.96875,-455.40625,8,1
351,Desert Mountain,1,WOD_Mountain_Desert_01,-100,345,492,42,1,3454249201,Alik'r Desert,345.328125,-492.9921875,8,1
357,Desert Mountain,1,WOD_Mountain_Desert_07,52,359,445,19,47,3591944547,Alik'r Desert,359.1484375,-445.6328125,8,1
358,Desert Mountain,1,WOD_Mountain_Desert_01,165,513,418,6,6,5130641806,Alik'r Desert,513.046875,-418.953125,8,1
359,Desert Mountain,1,WOD_Mountain_Desert_02,-80,279,488,91,123,27991488123,Alik'r Desert,279.7109375,-488.0390625,8,1
366,Desert Mountain,1,WOD_Mountain_Desert_02,-121,588,384,90,128,58890384128,Alik'r Desert,588.703125,-384,8,1
367,Desert Mountain,1,WOD_Mountain_Desert_03,157,562,404,36,54,5623640454,Alik'r Desert,562.28125,-404.578125,8,1
368,Desert Mountain,1,WOD_Mountain_Desert_04,108,459,472,52,35,4595247235,Alik'r Desert,459.40625,-472.7265625,8,1
369,Desert Mountain,1,WOD_Mountain_Desert_05,70,310,484,65,118,31065484118,Alik'r Desert,310.5078125,-484.078125,8,1
370,Desert Mountain,1,WOD_Mountain_Desert_06,-154,379,466,15,81,3791546681,Alik'r Desert,379.1171875,-466.3671875,8,1
371,Desert Mountain,1,WOD_Mountain_Desert_07,9,315,451,93,6,3159345106,Alik'r Desert,315.7265625,-451.953125,8,1
372,Desert Mountain,1,WOD_Mountain_Desert_01,-137,460,489,64,84,4606448984,Alik'r Desert,460.5,-489.34375,8,1
374,Desert Mountain,1,WOD_Mountain_Desert_03,-124,317,453,91,60,3179145360,Alik'r Desert,317.7109375,-453.53125,8,1
378,Desert Mountain,1,WOD_Mountain_Desert_07,179,369,411,97,76,3699741176,Alik'r Desert,369.7578125,-411.40625,8,1
381,Desert Mountain,1,WOD_Mountain_Desert_03,-150,408,425,82,40,4088242540,Alik'r Desert,408.640625,-425.6875,8,1
383,Desert Mountain,1,WOD_Mountain_Desert_05,-158,572,403,110,58,57211040358,Alik'r Desert,572.859375,-403.546875,8,1
385,Desert Mountain,1,WOD_Mountain_Desert_07,55,379,488,45,9,3794548809,Alik'r Desert,379.3515625,-488.9296875,8,1
389,Desert Mountain,1,WOD_Mountain_Desert_04,-67,455,447,92,10,4559244710,Alik'r Desert,455.71875,-447.921875,8,1
390,Desert Mountain,1,WOD_Mountain_Desert_05,32,451,488,41,105,45141488105,Alik'r Desert,451.3203125,-488.1796875,8,1
392,Desert Mountain,1,WOD_Mountain_Desert_07,9,500,456,33,113,50033456113,Alik'r Desert,500.2578125,-456.1171875,8,1
394,Desert Mountain,1,WOD_Mountain_Desert_02,-121,427,485,104,47,42710448547,Alik'r Desert,427.8125,-485.6328125,8,1
396,Desert Mountain,1,WOD_Mountain_Desert_04,-123,339,476,36,82,3393647682,Alik'r Desert,339.28125,-476.359375,8,1
397,Desert Mountain,1,WOD_Mountain_Desert_05,-55,290,473,76,1,2907647301,Alik'r Desert,290.59375,-473.9921875,8,1
398,Desert Mountain,1,WOD_Mountain_Desert_06,-94,361,470,63,35,3616347035,Alik'r Desert,361.4921875,-470.7265625,8,1
400,Desert Mountain,1,WOD_Mountain_Desert_01,85,574,421,68,114,57468421114,Alik'r Desert,574.53125,-421.109375,8,1
401,Desert Mountain,1,WOD_Mountain_Desert_02,-146,523,428,77,95,5237742895,Alik'r Desert,523.6015625,-428.2578125,8,1
402,Desert Mountain,1,WOD_Mountain_Desert_03,81,596,421,6,122,59606421122,Alik'r Desert,596.046875,-421.046875,8,1
405,Desert Mountain,1,WOD_Mountain_Desert_06,9,236,488,36,55,2363648855,Alik'r Desert,236.28125,-488.5703125,8,1
408,Desert Mountain,1,WOD_Mountain_Desert_02,114,582,415,10,15,5821041515,Alik'r Desert,582.078125,-415.8828125,8,1
410,Desert Mountain,1,WOD_Mountain_Desert_04,-102,365,494,41,95,3654149495,Alik'r Desert,365.3203125,-494.2578125,8,1
414,Desert Mountain,1,WOD_Mountain_Desert_01,-167,476,481,102,46,47610248146,Alik'r Desert,476.796875,-481.640625,8,1
415,Desert Mountain,1,WOD_Mountain_Desert_02,-72,350,485,100,90,35010048590,Alik'r Desert,350.78125,-485.296875,8,1
416,Desert Mountain,1,WOD_Mountain_Desert_03,84,253,488,22,33,2532248833,Alik'r Desert,253.171875,-488.7421875,8,1
421,Desert Mountain,1,WOD_Mountain_Desert_01,98,496,426,69,93,4966942693,Alik'r Desert,496.5390625,-426.2734375,8,1
422,Desert Mountain,1,WOD_Mountain_Desert_02,91,349,427,122,3,34912242703,Alik'r Desert,349.953125,-427.9765625,8,1
425,Desert Mountain,1,WOD_Mountain_Desert_05,-11,581,407,100,55,58110040755,Alik'r Desert,581.78125,-407.5703125,8,1
428,Desert Mountain,1,WOD_Mountain_Desert_01,41,522,440,32,78,5223244078,Alik'r Desert,522.25,-440.390625,8,1
434,Desert Mountain,1,WOD_Mountain_Desert_07,-159,235,485,23,102,23523485102,Alik'r Desert,235.1796875,-485.203125,8,1
439,Desert Mountain,1,WOD_Mountain_Desert_05,158,472,412,128,119,472128412119,Alik'r Desert,473,-412.0703125,8,1
441,Desert Mountain,1,WOD_Mountain_Desert_07,-57,400,426,127,40,40012742640,Alik'r Desert,400.9921875,-426.6875,8,1
445,Desert Mountain,1,WOD_Mountain_Desert_04,-87,543,412,6,104,54306412104,Alik'r Desert,543.046875,-412.1875,8,1
447,Desert Mountain,1,WOD_Mountain_Desert_06,15,546,420,47,58,5464742058,Alik'r Desert,546.3671875,-420.546875,8,1
448,Desert Mountain,1,WOD_Mountain_Desert_07,-89,547,395,78,67,5477839567,Alik'r Desert,547.609375,-395.4765625,8,1
450,Desert Mountain,1,WOD_Mountain_Desert_02,59,541,400,33,106,54133400106,Alik'r Desert,541.2578125,-400.171875,8,1
453,Desert Mountain,1,WOD_Mountain_Desert_05,177,455,445,86,15,4558644515,Alik'r Desert,455.671875,-445.8828125,8,1
454,Desert Mountain,1,WOD_Mountain_Desert_06,70,516,414,55,13,5165541413,Alik'r Desert,516.4296875,-414.8984375,8,1
457,Desert Mountain,1,WOD_Mountain_Desert_02,48,530,412,49,113,53049412113,Alik'r Desert,530.3828125,-412.1171875,8,1
458,Desert Mountain,1,WOD_Mountain_Desert_03,79,309,452,38,23,3093845223,Alik'r Desert,309.296875,-452.8203125,8,1
459,Desert Mountain,1,WOD_Mountain_Desert_04,36,358,428,74,83,3587442883,Alik'r Desert,358.578125,-428.3515625,8,1
464,Desert Mountain,1,WOD_Mountain_Desert_02,-98,253,497,88,36,2538849736,Alik'r Desert,253.6875,-497.71875,8,1
467,Desert Mountain,1,WOD_Mountain_Desert_05,59,272,472,102,109,272102472109,Alik'r Desert,272.796875,-472.1484375,8,1
471,Desert Mountain,1,WOD_Mountain_Desert_02,-38,345,415,33,102,34533415102,Alik'r Desert,345.2578125,-415.203125,8,1
474,Desert Mountain,1,WOD_Mountain_Desert_05,43,358,490,114,119,358114490119,Alik'r Desert,358.890625,-490.0703125,8,1
475,Desert Mountain,1,WOD_Mountain_Desert_06,29,499,425,69,36,4996942536,Alik'r Desert,499.5390625,-425.71875,8,1
480,Desert Mountain,1,WOD_Mountain_Desert_04,-177,339,462,19,31,3391946231,Alik'r Desert,339.1484375,-462.7578125,8,1
482,Desert Mountain,1,WOD_Mountain_Desert_06,-82,270,474,106,86,27010647486,Alik'r Desert,270.828125,-474.328125,8,1
483,Desert Mountain,1,WOD_Mountain_Desert_07,41,274,481,116,22,27411648122,Alik'r Desert,274.90625,-481.828125,8,1
